Rodada;Data;Time casa;Gols time casa;Time visitante;Gols time visitante
1;25/05/2013;Vasco da Gama - RJ;1;Portuguesa - SP;0
1;25/05/2013;Vitória - BA;2;Internacional - RS;2
1;25/05/2013;Corinthians - SP;1;Botafogo - RJ;1
1;26/05/2013;Grêmio - RS;2;Náutico - PE;0
1;26/05/2013;Ponte Preta - SP;0;São Paulo - SP;2
1;26/05/2013;Criciuma - SC;3;Bahia - BA;1
1;26/05/2013;Santos - SP;0;Flamengo - RJ;0
1;26/05/2013;Fluminense - RJ;2;Atlético Paranaense - PR;1
1;26/05/2013;Cruzeiro - MG;5;Goiás - GO;0
1;26/05/2013;Coritiba - PR;2;Atlético - MG;1
2;29/05/2013;Atlético Paranaense - PR;2;Cruzeiro - MG;2
2;29/05/2013;Botafogo - RJ;2;Santos - SP;1
2;29/05/2013;São Paulo - SP;5;Vasco da Gama - RJ;1
2;29/05/2013;Flamengo - RJ;0;Ponte Preta - SP;2
2;29/05/2013;Bahia - BA;0;Coritiba - PR;0
2;29/05/2013;Náutico - PE;0;Vitória - BA;3
2;29/05/2013;Goiás - GO;1;Corinthians - SP;1
2;30/05/2013;Internacional - RS;2;Criciuma - SC;0
2;09/06/2013;Atlético - MG;2;Grêmio - RS;0
2;12/06/2013;Portuguesa - SP;2;Fluminense - RJ;1
3;01/06/2013;Atlético Paranaense - PR;2;Flamengo - RJ;2
3;01/06/2013;Santos - SP;1;Grêmio - RS;1
3;01/06/2013;Botafogo - RJ;2;Cruzeiro - MG;1
3;01/06/2013;Goiás - GO;1;Coritiba - PR;1
3;01/06/2013;Vitória - BA;2;Vasco da Gama - RJ;0
3;01/06/2013;Corinthians - SP;1;Ponte Preta - SP;0
3;02/06/2013;Fluminense - RJ;3;Criciuma - SC;0
3;02/06/2013;Internacional - RS;1;Bahia - BA;2
3;02/06/2013;Náutico - PE;2;Portuguesa - SP;2
3;02/06/2013;Atlético - MG;0;São Paulo - SP;0
4;05/06/2013;Portuguesa - SP;1;Internacional - RS;1
4;05/06/2013;São Paulo - SP;0;Goiás - GO;1
4;05/06/2013;Criciuma - SC;3;Santos - SP;1
4;05/06/2013;Ponte Preta - SP;3;Atlético Paranaense - PR;4
4;05/06/2013;Grêmio - RS;1;Vitória - BA;0
4;05/06/2013;Vasco da Gama - RJ;2;Atlético - MG;0
4;05/06/2013;Flamengo - RJ;0;Náutico - PE;1
4;05/06/2013;Bahia - BA;2;Botafogo - RJ;1
4;05/06/2013;Cruzeiro - MG;1;Corinthians - SP;0
4;06/06/2013;Coritiba - PR;2;Fluminense - RJ;1
5;08/06/2013;Cruzeiro - MG;2;Internacional - RS;2
5;08/06/2013;Criciuma - SC;0;Flamengo - RJ;3
5;08/06/2013;Vasco da Gama - RJ;1;Bahia - BA;1
5;08/06/2013;Corinthians - SP;0;Portuguesa - SP;0
5;08/06/2013;Ponte Preta - SP;0;Botafogo - RJ;2
5;09/06/2013;Vitória - BA;3;Atlético Paranaense - PR;2
5;09/06/2013;Coritiba - PR;1;Náutico - PE;0
5;09/06/2013;Fluminense - RJ;2;Goiás - GO;1
5;12/06/2013;Santos - SP;1;Atlético - MG;0
5;12/06/2013;Grêmio - RS;1;São Paulo - SP;1
6;06/07/2013;Flamengo - RJ;2;Coritiba - PR;2
6;06/07/2013;Náutico - PE;1;Ponte Preta - SP;3
6;06/07/2013;Atlético Paranaense - PR;1;Grêmio - RS;1
6;06/07/2013;Portuguesa - SP;1;Cruzeiro - MG;1
6;07/07/2013;Goiás - GO;1;Vitória - BA;0
6;07/07/2013;Internacional - RS;5;Vasco da Gama - RJ;3
6;07/07/2013;São Paulo - SP;0;Santos - SP;2
6;07/07/2013;Bahia - BA;0;Corinthians - SP;2
6;07/07/2013;Botafogo - RJ;1;Fluminense - RJ;0
6;07/07/2013;Atlético - MG;3;Criciuma - SC;2
