posicao;pontos;jogos;vitorias;empates;derrotas;gols_pro;gols_contra;saldo_gols;aproveitamento;variacao_posicao;ultimos_jogos;time.time_id;time.nome_popular;time.sigla;time.escudo
1;73;38;20;13;5;42;21;21;64.0;1;['v', 'e', 'v', 'd', 'v'];5;Chapecoense;CHA;https://apifutebol.s3.sa-east-1.amazonaws.com/escudos/5f999c82dc52e.svg
2;73;38;20;13;5;43;23;20;64.0;-1;['e', 'e', 'e', 'e', 'v'];33;América-MG;AMG;https://apifutebol.s3.sa-east-1.amazonaws.com/escudos/5f999cac0b5cc.svg
3;61;38;17;10;11;52;42;10;53.5;1;['d', 'v', 'd', 'v', 'v'];43;Juventude;JUV;https://apifutebol.s3.sa-east-1.amazonaws.com/escudos/5f999cb997a01.svg
4;61;38;17;10;11;48;40;8;53.5;-1;['e', 'v', 'v', 'd', 'd'];204;Cuiabá;CUI;https://apifutebol.s3.sa-east-1.amazonaws.com/escudos/5f999e4424264.svg
5;58;38;16;10;12;50;37;13;50.9;0;['d', 'e', 'v', 'e', 'e'];95;CSA;CSA;https://apifutebol.s3.sa-east-1.amazonaws.com/escudos/5f999dac914d4.svg
6;57;38;17;6;15;50;38;12;50.0;1;['d', 'v', 'v', 'v', 'v'];120;Sampaio Corrêa;SAM;https://apifutebol.s3.sa-east-1.amazonaws.com/escudos/5f999dd07831b.svg
7;57;38;16;9;13;54;49;5;50.0;1;['e', 'v', 'd', 'v', 'v'];61;Ponte Preta;PON;https://apifutebol.s3.sa-east-1.amazonaws.com/escudos/5f999d718e8b0.svg
8;57;38;15;12;11;40;34;6;50.0;1;['v', 'v', 'd', 'v', 'v'];117;Operário-PR;OPE;https://apifutebol.s3.sa-east-1.amazonaws.com/escudos/5f999dcc8ff9f.svg
9;55;38;16;7;15;45;49;-4;48.2;-3;['e', 'e', 'v', 'v', 'd'];6;Avaí;AVA;https://apifutebol.s3.sa-east-1.amazonaws.com/escudos/5f999c8488adb.svg
10;52;38;15;7;16;48;47;1;45.6;0;['v', 'd', 'v', 'd', 'v'];90;CRB;CRB;https://apifutebol.s3.sa-east-1.amazonaws.com/escudos/5f999da50b853.svg
11;49;38;14;13;11;39;32;7;48.2;1;['d', 'd', 'v', 'e', 'e'];37;Cruzeiro;CRU;https://apifutebol.s3.sa-east-1.amazonaws.com/escudos/5f999cb17a444.svg
12;49;38;11;16;11;31;33;-2;43.0;-1;['v', 'd', 'e', 'e', 'd'];48;Brasil de Pelotas;BRA;https://apifutebol.s3.sa-east-1.amazonaws.com/escudos/5f999cc025f7c.svg
13;48;38;13;9;16;41;48;-7;42.1;0;['d', 'd', 'd', 'd', 'd'];54;Guarani;GUA;https://apifutebol.s3.sa-east-1.amazonaws.com/escudos/5f999cc97ce63.svg
14;48;38;11;15;12;45;45;0;42.1;1;['e', 'e', 'v', 'v', 'v'];102;Vitória;VIT;https://apifutebol.s3.sa-east-1.amazonaws.com/escudos/5f999db697241.svg
15;46;38;12;10;16;38;46;-8;40.4;-1;['d', 'v', 'd', 'e', 'd'];205;Confiança;CON;https://apifutebol.s3.sa-east-1.amazonaws.com/escudos/5f999e45c52f1.svg
16;44;38;10;14;14;35;42;-7;38.6;0;['e', 'd', 'v', 'e', 'e'];74;Náutico;NAU;https://apifutebol.s3.sa-east-1.amazonaws.com/escudos/5f999d8a748ce.svg
17;39;38;9;12;17;35;49;-14;34.2;0;['d', 'v', 'd', 'd', 'd'];9;Figueirense;FIG;https://apifutebol.s3.sa-east-1.amazonaws.com/escudos/5f999c88acad7.svg
18;37;38;9;10;19;34;50;-16;32.5;0;['v', 'd', 'd', 'd', 'e'];76;Paraná;PAR;https://apifutebol.s3.sa-east-1.amazonaws.com/escudos/5f999d8ce59bd.svg
19;34;38;8;10;20;26;39;-13;29.8;0;['v', 'e', 'd', 'd', 'd'];66;Botafogo-SP;BOT;https://apifutebol.s3.sa-east-1.amazonaws.com/escudos/5f999d7dd27d9.svg
20;29;38;7;8;23;28;60;-32;25.4;0;['v', 'd', 'd', 'v', 'd'];52;Oeste;OES;https://apifutebol.s3.sa-east-1.amazonaws.com/escudos/5f999cc618b80.svg
