Rodada;Data;Time casa;Gols time casa;Time visitante;Gols time visitante
1;24/05/2013;Oeste - SP;1;Avaí - SC;1
1;24/05/2013;São Caetano - SP;0;Ceará - CE;0
1;24/05/2013;Paysandu - PA;1;A.s.a. - AL;1
1;24/05/2013;Boa - MG;1;Chapecoense - SC;4
1;25/05/2013;Figueirense - SC;3;América - RN;2
1;25/05/2013;Joinville - SC;3;Bragantino - SP;0
1;25/05/2013;Icasa - CE;2;Sport - PE;1
1;25/05/2013;Palmeiras - SP;1;Atlético - GO;0
1;25/05/2013;Abc - RN;0;Paraná - PR;2
1;25/05/2013;Guaratinguetá - SP;1;América - MG;0
2;28/05/2013;Paraná - PR;0;São Caetano - SP;0
2;28/05/2013;América - RN;1;Icasa - CE;1
2;28/05/2013;Sport - PE;1;Abc - RN;0
2;28/05/2013;Ceará - CE;1;Paysandu - PA;0
2;28/05/2013;Avaí - SC;2;Guaratinguetá - SP;1
2;28/05/2013;Bragantino - SP;0;Boa - MG;1
2;28/05/2013;A.s.a. - AL;0;Palmeiras - SP;3
2;28/05/2013;América - MG;2;Figueirense - SC;4
2;28/05/2013;Chapecoense - SC;1;Oeste - SP;1
2;28/05/2013;Atlético - GO;2;Joinville - SC;1
3;31/05/2013;Icasa - CE;3;Avaí - SC;4
3;31/05/2013;Paysandu - PA;1;América - RN;1
3;31/05/2013;Joinville - SC;2;A.s.a. - AL;0
3;31/05/2013;Figueirense - SC;3;Sport - PE;2
3;31/05/2013;Abc - RN;1;Ceará - CE;1
3;31/05/2013;Oeste - SP;1;Paraná - PR;0
3;01/06/2013;Palmeiras - SP;0;América - MG;1
3;01/06/2013;Bragantino - SP;2;Guaratinguetá - SP;0
3;01/06/2013;Boa - MG;0;Atlético - GO;0
3;01/06/2013;São Caetano - SP;0;Chapecoense - SC;1
4;04/06/2013;Palmeiras - SP;2;Avaí - SC;1
4;04/06/2013;Oeste - SP;2;Ceará - CE;1
4;04/06/2013;Boa - MG;1;A.s.a. - AL;2
4;04/06/2013;Figueirense - SC;0;Chapecoense - SC;2
4;04/06/2013;Paysandu - PA;2;Paraná - PR;0
4;04/06/2013;Guaratinguetá - SP;1;Sport - PE;4
4;04/06/2013;Joinville - SC;3;América - RN;1
4;04/06/2013;Icasa - CE;1;América - MG;2
4;04/06/2013;Abc - RN;1;Bragantino - SP;1
4;04/06/2013;São Caetano - SP;4;Atlético - GO;2
5;07/06/2013;A.s.a. - AL;3;Icasa - CE;1
5;07/06/2013;América - MG;4;Oeste - SP;3
5;07/06/2013;Atlético - GO;1;Paysandu - PA;0
5;07/06/2013;Avaí - SC;0;Joinville - SC;2
5;07/06/2013;Chapecoense - SC;5;Abc - RN;1
5;07/06/2013;América - RN;2;Guaratinguetá - SP;2
5;08/06/2013;Sport - PE;1;Palmeiras - SP;0
5;08/06/2013;Paraná - PR;1;Figueirense - SC;0
5;08/06/2013;Ceará - CE;2;Boa - MG;2
5;08/06/2013;Bragantino - SP;1;São Caetano - SP;0
6;11/06/2013;Sport - PE;0;Bragantino - SP;2
6;11/06/2013;Oeste - SP;0;São Caetano - SP;3
6;11/06/2013;Chapecoense - SC;3;Paysandu - PA;2
6;11/06/2013;Ceará - CE;1;Figueirense - SC;1
6;11/06/2013;Guaratinguetá - SP;1;Joinville - SC;3
6;11/06/2013;América - RN;0;Palmeiras - SP;2
6;11/06/2013;Atlético - GO;0;Icasa - CE;3
6;11/06/2013;Paraná - PR;1;A.s.a. - AL;0
6;11/06/2013;Avaí - SC;1;América - MG;2
6;11/06/2013;Boa - MG;1;Abc - RN;0
7;02/07/2013;Bragantino - SP;0;América - RN;1
7;02/07/2013;Paysandu - PA;4;Guaratinguetá - SP;3
7;05/07/2013;América - MG;2;Paraná - PR;2
7;05/07/2013;A.s.a. - AL;0;Chapecoense - SC;2
7;06/07/2013;Abc - RN;0;Atlético - GO;1
7;06/07/2013;Palmeiras - SP;4;Oeste - SP;0
7;06/07/2013;Joinville - SC;2;Sport - PE;3
7;06/07/2013;São Caetano - SP;0;Avaí - SC;0
7;06/07/2013;Icasa - CE;1;Ceará - CE;0
7;06/07/2013;Figueirense - SC;3;Boa - MG;0
8;09/07/2013;Paysandu - PA;2;São Caetano - SP;2
8;09/07/2013;Oeste - SP;0;Boa - MG;0
8;12/07/2013;Palmeiras - SP;4;Abc - RN;1
8;12/07/2013;Atlético - GO;2;Figueirense - SC;3
8;13/07/2013;América - RN;2;Sport - PE;4
8;13/07/2013;América - MG;2;Bragantino - SP;2
8;13/07/2013;Avaí - SC;2;Paraná - PR;2
8;13/07/2013;Joinville - SC;2;Chapecoense - SC;2
8;13/07/2013;Ceará - CE;4;A.s.a. - AL;1
8;13/07/2013;Guaratinguetá - SP;3;Icasa - CE;0
9;16/07/2013;Icasa - CE;0;Oeste - SP;3
9;16/07/2013;Sport - PE;2;Avaí - SC;0
9;19/07/2013;São Caetano - SP;0;Guaratinguetá - SP;1
9;19/07/2013;Paraná - PR;4;América - RN;0
9;20/07/2013;Figueirense - SC;2;Palmeiras - SP;3
9;20/07/2013;Bragantino - SP;2;Ceará - CE;0
9;20/07/2013;Boa - MG;1;Paysandu - PA;0
9;20/07/2013;A.s.a. - AL;0;Atlético - GO;1
9;20/07/2013;Abc - RN;0;Joinville - SC;0
9;20/08/2013;Chapecoense - SC;2;América - MG;0
10;23/07/2013;Icasa - CE;2;Joinville - SC;1
10;23/07/2013;A.s.a. - AL;2;Bragantino - SP;1
10;26/07/2013;Atlético - GO;0;América - RN;1
10;26/07/2013;Sport - PE;2;Oeste - SP;0
10;27/07/2013;Boa - MG;1;América - MG;1
10;27/07/2013;Guaratinguetá - SP;1;Palmeiras - SP;1
10;27/07/2013;Chapecoense - SC;3;Avaí - SC;1
10;27/07/2013;Paraná - PR;3;Ceará - CE;0
10;27/07/2013;Figueirense - SC;3;São Caetano - SP;1
10;27/07/2013;Abc - RN;3;Paysandu - PA;0
11;30/07/2013;Oeste - SP;1;Guaratinguetá - SP;0
11;30/07/2013;Avaí - SC;1;Atlético - GO;0
11;30/07/2013;Joinville - SC;2;Boa - MG;3
11;30/07/2013;Ceará - CE;3;Chapecoense - SC;1
11;30/07/2013;América - RN;2;A.s.a. - AL;0
11;30/07/2013;São Caetano - SP;2;Abc - RN;1
11;30/07/2013;Paysandu - PA;2;Figueirense - SC;1
11;30/07/2013;Bragantino - SP;0;Paraná - PR;0
11;30/07/2013;Palmeiras - SP;4;Icasa - CE;0
11;30/07/2013;América - MG;5;Sport - PE;0
12;02/08/2013;América - RN;0;Boa - MG;0
12;02/08/2013;Palmeiras - SP;2;Bragantino - SP;1
