Sigla;Nome;Legenda;Espectro
AVANTE;AVANTE;70;C
DC;DEMOCRACIA CRISTÃ;27;D
DEM;DEMOCRATAS;25;D
MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;15;CD
NOVO;PARTIDO NOVO;30;D
PATRIOTA;PATRIOTA;51;D
PCB;PARTIDO COMUNISTA BRASILEIRO;21;EE
PCdoB;PARTIDO COMUNISTA DO BRASIL;65;E
PCO;PARTIDO DA CAUSA OPERÁRIA;29;EE
PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;12;CE
PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;31;C
PL;PARTIDO LIBERAL;22;CD
PMB;PARTIDO DA MULHER BRASILEIRA;35;D
PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;33;E
PODE;PODEMOS;19;D
PP;PROGRESSISTAS;11;D
PPL;PARTIDO PÁTRIA LIVRE;54;EE
PPS;PARTIDO POPULAR SOCIALISTA;23;C
PRB;PARTIDO REPUBLICANO BRASILEIRO;10;D
PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;90;C
PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;28;D
PSB;PARTIDO SOCIALISTA BRASILEIRO;40;CE
PSC;PARTIDO SOCIAL CRISTÃO;20;ED
PSD;PARTIDO SOCIAL DEMOCRÁTICO;55;CD
PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;45;CD
PSL;PARTIDO SOCIAL LIBERAL;17;ED
PSOL;PARTIDO SOCIALISMO E LIBERDADE;50;E
PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;16;EE
PT;PARTIDO DOS TRABALHADORES;13;E
PTB;PARTIDO TRABALHISTA BRASILEIRO;14;D
PTC;PARTIDO TRABALHISTA CRISTÃO;36;D
PV;PARTIDO VERDE;43;C
REDE;REDE SUSTENTABILIDADE;18;CE
SOLIDARIEDADE;SOLIDARIEDADE;77;C
