Zona;Seção;Local;Latitude;Longitude;Local Seção;Endereço;Bairro;IdBairro;Cidade;;
158;307;1;-22.751364;-47.328628;CEEJA - CENTRO ESTADUAL EDUCACIONAL DE JOVENS E ADULTOS;RUA RIACHUELO, 700;VILA SANTA CATARINA;1;AMERICANA;;
158;338;1;-22.751364;-47.328628;CEEJA - CENTRO ESTADUAL EDUCACIONAL DE JOVENS E ADULTOS;RUA RIACHUELO, 700;VILA SANTA CATARINA;1;AMERICANA;;
158;235;2;-22.713992;-47.363757;CIEP PROFº ANISIO SPINOLA TEIXEIRA;R HUMBERTO POLO, 200;PARQUE SÃO JERÔNIMO;2;AMERICANA;;
158;242;2;-22.713992;-47.363757;CIEP PROFº ANISIO SPINOLA TEIXEIRA;R HUMBERTO POLO, 200;PARQUE SÃO JERÔNIMO;2;AMERICANA;;
158;257;2;-22.713992;-47.363757;CIEP PROFº ANISIO SPINOLA TEIXEIRA;R HUMBERTO POLO, 200;PARQUE SÃO JERÔNIMO;2;AMERICANA;;
158;267;2;-22.713992;-47.363757;CIEP PROFº ANISIO SPINOLA TEIXEIRA;R HUMBERTO POLO, 200;PARQUE SÃO JERÔNIMO;2;AMERICANA;;
158;278;2;-22.713992;-47.363757;CIEP PROFº ANISIO SPINOLA TEIXEIRA;R HUMBERTO POLO, 200;PARQUE SÃO JERÔNIMO;2;AMERICANA;;
158;284;2;-22.713992;-47.363757;CIEP PROFº ANISIO SPINOLA TEIXEIRA;R HUMBERTO POLO, 200;PARQUE SÃO JERÔNIMO;2;AMERICANA;;
158;294;2;-22.713992;-47.363757;CIEP PROFº ANISIO SPINOLA TEIXEIRA;R HUMBERTO POLO, 200;PARQUE SÃO JERÔNIMO;2;AMERICANA;;
158;303;2;-22.713992;-47.363757;CIEP PROFº ANISIO SPINOLA TEIXEIRA;R HUMBERTO POLO, 200;PARQUE SÃO JERÔNIMO;2;AMERICANA;;
158;308;2;-22.713992;-47.363757;CIEP PROFº ANISIO SPINOLA TEIXEIRA;R HUMBERTO POLO, 200;PARQUE SÃO JERÔNIMO;2;AMERICANA;;
158;328;2;-22.713992;-47.363757;CIEP PROFº ANISIO SPINOLA TEIXEIRA;R HUMBERTO POLO, 200;PARQUE SÃO JERÔNIMO;2;AMERICANA;;
158;332;2;-22.713992;-47.363757;CIEP PROFº ANISIO SPINOLA TEIXEIRA;R HUMBERTO POLO, 200;PARQUE SÃO JERÔNIMO;2;AMERICANA;;
158;342;2;-22.713992;-47.363757;CIEP PROFº ANISIO SPINOLA TEIXEIRA;R HUMBERTO POLO, 200;PARQUE SÃO JERÔNIMO;2;AMERICANA;;
158;237;3;-22.750728;-47.359070;COLEGIO ANTARES;R ICARAI, 100;JARDIM IPIRANGA;3;AMERICANA;;
158;246;3;-22.750728;-47.359070;COLEGIO ANTARES;R ICARAI, 100;JARDIM IPIRANGA;3;AMERICANA;;
158;258;3;-22.750728;-47.359070;COLEGIO ANTARES;R ICARAI, 100;JARDIM IPIRANGA;3;AMERICANA;;
158;293;3;-22.750728;-47.359070;COLEGIO ANTARES;R ICARAI, 100;JARDIM IPIRANGA;3;AMERICANA;;
158;311;3;-22.750728;-47.359070;COLEGIO ANTARES;R ICARAI, 100;JARDIM IPIRANGA;3;AMERICANA;;
158;9;4;-22.737230;-47.330483;COLEGIO COMERCIAL DOM PEDRO II;R DR HEITOR PENTEADO, 8;CENTRO;4;AMERICANA;;
158;196;4;-22.737230;-47.330483;COLEGIO COMERCIAL DOM PEDRO II;R DR HEITOR PENTEADO, 8;CENTRO;4;AMERICANA;;
158;218;4;-22.737230;-47.330483;COLEGIO COMERCIAL DOM PEDRO II;R DR HEITOR PENTEADO, 8;CENTRO;4;AMERICANA;;
158;10;4;-22.737230;-47.330483;COLEGIO COMERCIAL DOM PEDRO II;R DR HEITOR PENTEADO, 8;CENTRO;4;AMERICANA;;
158;11;4;-22.737230;-47.330483;COLEGIO COMERCIAL DOM PEDRO II;R DR HEITOR PENTEADO, 8;CENTRO;4;AMERICANA;;
158;12;4;-22.737230;-47.330483;COLEGIO COMERCIAL DOM PEDRO II;R DR HEITOR PENTEADO, 8;CENTRO;4;AMERICANA;;
158;13;4;-22.737230;-47.330483;COLEGIO COMERCIAL DOM PEDRO II;R DR HEITOR PENTEADO, 8;CENTRO;4;AMERICANA;;
158;16;5;-22.748206;-47.323799;E.E. DR. JOÃO DE CASTRO GONÇALVES;RUA TIBIRIÇÁ, 449;CONSERVA;5;AMERICANA;;
158;17;5;-22.748206;-47.323799;E.E. DR. JOÃO DE CASTRO GONÇALVES;RUA TIBIRIÇÁ, 449;CONSERVA;5;AMERICANA;;
158;18;5;-22.748206;-47.323799;E.E. DR. JOÃO DE CASTRO GONÇALVES;RUA TIBIRIÇÁ, 449;CONSERVA;5;AMERICANA;;
158;19;5;-22.748206;-47.323799;E.E. DR. JOÃO DE CASTRO GONÇALVES;RUA TIBIRIÇÁ, 449;CONSERVA;5;AMERICANA;;
158;20;5;-22.748206;-47.323799;E.E. DR. JOÃO DE CASTRO GONÇALVES;RUA TIBIRIÇÁ, 449;CONSERVA;5;AMERICANA;;
158;21;5;-22.748206;-47.323799;E.E. DR. JOÃO DE CASTRO GONÇALVES;RUA TIBIRIÇÁ, 449;CONSERVA;5;AMERICANA;;
158;36;6;-22.750428;-47.328437;E.E. JOAO XXIII;R DUQUE DE CAXIAS, 550;VILA GALO;6;AMERICANA;;
158;144;6;-22.750428;-47.328437;E.E. JOAO XXIII;R DUQUE DE CAXIAS, 550;VILA GALO;6;AMERICANA;;
158;145;6;-22.750428;-47.328437;E.E. JOAO XXIII;R DUQUE DE CAXIAS, 550;VILA GALO;6;AMERICANA;;
158;146;6;-22.750428;-47.328437;E.E. JOAO XXIII;R DUQUE DE CAXIAS, 550;VILA GALO;6;AMERICANA;;
158;147;6;-22.750428;-47.328437;E.E. JOAO XXIII;R DUQUE DE CAXIAS, 550;VILA GALO;6;AMERICANA;;
158;148;6;-22.750428;-47.328437;E.E. JOAO XXIII;R DUQUE DE CAXIAS, 550;VILA GALO;6;AMERICANA;;
158;149;6;-22.750428;-47.328437;E.E. JOAO XXIII;R DUQUE DE CAXIAS, 550;VILA GALO;6;AMERICANA;;
158;178;6;-22.750428;-47.328437;E.E. JOAO XXIII;R DUQUE DE CAXIAS, 550;VILA GALO;6;AMERICANA;;
158;192;6;-22.750428;-47.328437;E.E. JOAO XXIII;R DUQUE DE CAXIAS, 550;VILA GALO;6;AMERICANA;;
158;207;6;-22.750428;-47.328437;E.E. JOAO XXIII;R DUQUE DE CAXIAS, 550;VILA GALO;6;AMERICANA;;
158;208;6;-22.750428;-47.328437;E.E. JOAO XXIII;R DUQUE DE CAXIAS, 550;VILA GALO;6;AMERICANA;;
158;252;6;-22.750428;-47.328437;E.E. JOAO XXIII;R DUQUE DE CAXIAS, 550;VILA GALO;6;AMERICANA;;
158;274;6;-22.750428;-47.328437;E.E. JOAO XXIII;R DUQUE DE CAXIAS, 550;VILA GALO;6;AMERICANA;;
158;288;6;-22.750428;-47.328437;E.E. JOAO XXIII;R DUQUE DE CAXIAS, 550;VILA GALO;6;AMERICANA;;
158;24;7;-22.756953;-47.338418;E.E. MONSENHOR MAGI;R DOS SALGUEIROS, 495;JARDIM SÃO PAULO;7;AMERICANA;;
158;25;7;-22.756953;-47.338418;E.E. MONSENHOR MAGI;R DOS SALGUEIROS, 495;JARDIM SÃO PAULO;7;AMERICANA;;
158;26;7;-22.756953;-47.338418;E.E. MONSENHOR MAGI;R DOS SALGUEIROS, 495;JARDIM SÃO PAULO;7;AMERICANA;;
158;27;7;-22.756953;-47.338418;E.E. MONSENHOR MAGI;R DOS SALGUEIROS, 495;JARDIM SÃO PAULO;7;AMERICANA;;
158;28;7;-22.756953;-47.338418;E.E. MONSENHOR MAGI;R DOS SALGUEIROS, 495;JARDIM SÃO PAULO;7;AMERICANA;;
158;29;7;-22.756953;-47.338418;E.E. MONSENHOR MAGI;R DOS SALGUEIROS, 495;JARDIM SÃO PAULO;7;AMERICANA;;
158;30;7;-22.756953;-47.338418;E.E. MONSENHOR MAGI;R DOS SALGUEIROS, 495;JARDIM SÃO PAULO;7;AMERICANA;;
158;31;7;-22.756953;-47.338418;E.E. MONSENHOR MAGI;R DOS SALGUEIROS, 495;JARDIM SÃO PAULO;7;AMERICANA;;
158;32;7;-22.756953;-47.338418;E.E. MONSENHOR MAGI;R DOS SALGUEIROS, 495;JARDIM SÃO PAULO;7;AMERICANA;;
158;33;7;-22.756953;-47.338418;E.E. MONSENHOR MAGI;R DOS SALGUEIROS, 495;JARDIM SÃO PAULO;7;AMERICANA;;
158;34;7;-22.756953;-47.338418;E.E. MONSENHOR MAGI;R DOS SALGUEIROS, 495;JARDIM SÃO PAULO;7;AMERICANA;;
158;35;7;-22.756953;-47.338418;E.E. MONSENHOR MAGI;R DOS SALGUEIROS, 495;JARDIM SÃO PAULO;7;AMERICANA;;
158;264;7;-22.756953;-47.338418;E.E. MONSENHOR MAGI;R DOS SALGUEIROS, 495;JARDIM SÃO PAULO;7;AMERICANA;;
158;216;8;-22.725252;-47.337603;E.E. PROFº ALCINDO SOARES DO NASCIMENTO;R DINAMARCA, 531;JARDIM PAULISTANO;8;AMERICANA;;
158;224;8;-22.725252;-47.337603;E.E. PROFº ALCINDO SOARES DO NASCIMENTO;R DINAMARCA, 531;JARDIM PAULISTANO;8;AMERICANA;;
158;233;8;-22.725252;-47.337603;E.E. PROFº ALCINDO SOARES DO NASCIMENTO;R DINAMARCA, 531;JARDIM PAULISTANO;8;AMERICANA;;
158;241;8;-22.725252;-47.337603;E.E. PROFº ALCINDO SOARES DO NASCIMENTO;R DINAMARCA, 531;JARDIM PAULISTANO;8;AMERICANA;;
158;249;8;-22.725252;-47.337603;E.E. PROFº ALCINDO SOARES DO NASCIMENTO;R DINAMARCA, 531;JARDIM PAULISTANO;8;AMERICANA;;
158;262;8;-22.725252;-47.337603;E.E. PROFº ALCINDO SOARES DO NASCIMENTO;R DINAMARCA, 531;JARDIM PAULISTANO;8;AMERICANA;;
158;273;8;-22.725252;-47.337603;E.E. PROFº ALCINDO SOARES DO NASCIMENTO;R DINAMARCA, 531;JARDIM PAULISTANO;8;AMERICANA;;
158;283;8;-22.725252;-47.337603;E.E. PROFº ALCINDO SOARES DO NASCIMENTO;R DINAMARCA, 531;JARDIM PAULISTANO;8;AMERICANA;;
158;296;8;-22.725252;-47.337603;E.E. PROFº ALCINDO SOARES DO NASCIMENTO;R DINAMARCA, 531;JARDIM PAULISTANO;8;AMERICANA;;
158;304;8;-22.725252;-47.337603;E.E. PROFº ALCINDO SOARES DO NASCIMENTO;R DINAMARCA, 531;JARDIM PAULISTANO;8;AMERICANA;;
158;136;9;-22.744096;-47.330700;E.E. PROFº DR HEITOR PENTEADO;R DOS PROFS, 40;CENTRO;4;AMERICANA;;
158;174;9;-22.744096;-47.330700;E.E. PROFº DR HEITOR PENTEADO;R DOS PROFS, 40;CENTRO;4;AMERICANA;;
158;200;9;-22.744096;-47.330700;E.E. PROFº DR HEITOR PENTEADO;R DOS PROFS, 40;CENTRO;4;AMERICANA;;
158;253;9;-22.744096;-47.330700;E.E. PROFº DR HEITOR PENTEADO;R DOS PROFS, 40;CENTRO;4;AMERICANA;;
158;275;9;-22.744096;-47.330700;E.E. PROFº DR HEITOR PENTEADO;R DOS PROFS, 40;CENTRO;4;AMERICANA;;
158;286;9;-22.744096;-47.330700;E.E. PROFº DR HEITOR PENTEADO;R DOS PROFS, 40;CENTRO;4;AMERICANA;;
158;301;9;-22.744096;-47.330700;E.E. PROFº DR HEITOR PENTEADO;R DOS PROFS, 40;CENTRO;4;AMERICANA;;
158;317;9;-22.744096;-47.330700;E.E. PROFº DR HEITOR PENTEADO;R DOS PROFS, 40;CENTRO;4;AMERICANA;;
158;327;9;-22.744096;-47.330700;E.E. PROFº DR HEITOR PENTEADO;R DOS PROFS, 40;CENTRO;4;AMERICANA;;
