Rodada;Data;Time casa;Gols time casa;Time visitante;Gols time visitante
1;14/04/2018;Cruzeiro - MG;0 ;Grêmio - RS; 1
1;14/04/2018;Vitória - BA;2 ;Flamengo - RJ; 2
1;14/04/2018;Santos - SP;2 ;Ceará - CE; 0
1;15/04/2018;America Fc - MG;3 ;Sport - PE; 0
1;15/04/2018;Vasco da Gama - RJ;2 ;Atlético - MG; 1
1;15/04/2018;Corinthians - SP;2 ;Fluminense - RJ; 1
1;15/04/2018;Internacional - RS;2 ;Bahia - BA; 0
1;15/04/2018;Athletico Paranaense - PR;5 ;Chapecoense - SC; 1
1;16/04/2018;Botafogo - RJ;1 ;Palmeiras - SP; 1
1;16/04/2018;São Paulo - SP;1 ;Paraná - PR; 0
2;21/04/2018;Bahia - BA;1 ;Santos - SP; 0
2;21/04/2018;Flamengo - RJ;2 ;America Fc - MG; 0
2;22/04/2018;Paraná - PR;0 ;Corinthians - SP; 4
2;22/04/2018;Chapecoense - SC;1 ;Vasco da Gama - RJ; 1
2;22/04/2018;Fluminense - RJ;1 ;Cruzeiro - MG; 0
2;22/04/2018;Ceará - CE;0 ;São Paulo - SP; 0
2;22/04/2018;Palmeiras - SP;1 ;Internacional - RS; 0
2;22/04/2018;Atlético - MG;2 ;Vitória - BA; 1
2;22/04/2018;Grêmio - RS;0 ;Athletico Paranaense - PR; 0
2;23/04/2018;Sport - PE;1 ;Botafogo - RJ; 1
3;28/04/2018;Botafogo - RJ;2 ;Grêmio - RS; 1
3;29/04/2018;Palmeiras - SP;0 ;Chapecoense - SC; 0
3;29/04/2018;Ceará - CE;0 ;Flamengo - RJ; 3
3;29/04/2018;Bahia - BA;0 ;Athletico Paranaense - PR; 0
3;29/04/2018;Fluminense - RJ;1 ;São Paulo - SP; 1
3;29/04/2018;Paraná - PR;1 ;Sport - PE; 2
3;29/04/2018;Atlético - MG;1 ;Corinthians - SP; 0
3;29/04/2018;Internacional - RS;0 ;Cruzeiro - MG; 0
3;30/04/2018;America Fc - MG;2 ;Vitória - BA; 1
3;27/09/2018;Santos - SP;1 ;Vasco da Gama - RJ; 1
4;05/05/2018;Vasco da Gama - RJ;4 ;America Fc - MG; 1
4;05/05/2018;São Paulo - SP;2 ;Atlético - MG; 2
4;06/05/2018;Corinthians - SP;1 ;Ceará - CE; 1
4;06/05/2018;Flamengo - RJ;2 ;Internacional - RS; 0
4;06/05/2018;Vitória - BA;1 ;Fluminense - RJ; 2
4;06/05/2018;Athletico Paranaense - PR;1 ;Palmeiras - SP; 3
4;06/05/2018;Cruzeiro - MG;1 ;Botafogo - RJ; 0
4;06/05/2018;Sport - PE;2 ;Bahia - BA; 0
4;06/05/2018;Grêmio - RS;5 ;Santos - SP; 1
4;07/05/2018;Chapecoense - SC;1 ;Paraná - PR; 1
5;12/05/2018;Grêmio - RS;0 ;Internacional - RS; 0
5;13/05/2018;Cruzeiro - MG;2 ;Sport - PE; 0
5;13/05/2018;Athletico Paranaense - PR;1 ;Atlético - MG; 2
5;13/05/2018;Chapecoense - SC;3 ;Flamengo - RJ; 2
5;13/05/2018;Bahia - BA;2 ;São Paulo - SP; 2
5;13/05/2018;Vasco da Gama - RJ;2 ;Vitória - BA; 3
5;13/05/2018;Corinthians - SP;1 ;Palmeiras - SP; 0
5;13/05/2018;Santos - SP;3 ;Paraná - PR; 1
5;14/05/2018;Ceará - CE;2 ;America Fc - MG; 2
5;14/05/2018;Botafogo - RJ;2 ;Fluminense - RJ; 1
6;19/05/2018;Atlético - MG;1 ;Cruzeiro - MG; 0
6;19/05/2018;Flamengo - RJ;1 ;Vasco da Gama - RJ; 1
6;19/05/2018;Palmeiras - SP;3 ;Bahia - BA; 0
6;20/05/2018;Vitória - BA;2 ;Ceará - CE; 1
6;20/05/2018;Paraná - PR;0 ;Grêmio - RS; 0
6;20/05/2018;America Fc - MG;1 ;Botafogo - RJ; 0
6;20/05/2018;São Paulo - SP;1 ;Santos - SP; 0
6;20/05/2018;Sport - PE;1 ;Corinthians - SP; 1
6;20/05/2018;Fluminense - RJ;2 ;Athletico Paranaense - PR; 0
6;21/05/2018;Internacional - RS;3 ;Chapecoense - SC; 0
7;26/05/2018;Fluminense - RJ;3 ;Chapecoense - SC; 1
7;26/05/2018;Palmeiras - SP;2 ;Sport - PE; 3
7;26/05/2018;Atlético - MG;0 ;Flamengo - RJ; 1
7;27/05/2018;Paraná - PR;0 ;Athletico Paranaense - PR; 0
7;27/05/2018;Santos - SP;0 ;Cruzeiro - MG; 1
7;27/05/2018;Internacional - RS;2 ;Corinthians - SP; 1
7;27/05/2018;Botafogo - RJ;1 ;Vitória - BA; 1
7;27/05/2018;Bahia - BA;3 ;Vasco da Gama - RJ; 0
7;27/05/2018;Ceará - CE;0 ;Grêmio - RS; 1
7;27/05/2018;America Fc - MG;1 ;São Paulo - SP; 3
8;30/05/2018;Sport - PE;3 ;Atlético - MG; 2
8;30/05/2018;Vitória - BA;2 ;Internacional - RS; 3
8;30/05/2018;Vasco da Gama - RJ;1 ;Paraná - PR; 0
8;30/05/2018;São Paulo - SP;3 ;Botafogo - RJ; 2
8;30/05/2018;Chapecoense - SC;2 ;Ceará - CE; 0
8;30/05/2018;Grêmio - RS;0 ;Fluminense - RJ; 0
8;30/05/2018;Cruzeiro - MG;1 ;Palmeiras - SP; 0
8;31/05/2018;Flamengo - RJ;2 ;Bahia - BA; 0
8;31/05/2018;Corinthians - SP;1 ;America Fc - MG; 0
8;31/05/2018;Athletico Paranaense - PR;2 ;Santos - SP; 0
9;02/06/2018;Atlético - MG;3 ;Chapecoense - SC; 3
9;02/06/2018;Internacional - RS;0 ;Sport - PE; 0
9;02/06/2018;Vasco da Gama - RJ;1 ;Botafogo - RJ; 2
9;02/06/2018;Palmeiras - SP;3 ;São Paulo - SP; 1
9;03/06/2018;America Fc - MG;3 ;Athletico Paranaense - PR; 1
9;03/06/2018;Bahia - BA;0 ;Grêmio - RS; 2
9;03/06/2018;Flamengo - RJ;1 ;Corinthians - SP; 0
9;03/06/2018;Santos - SP;5 ;Vitória - BA; 2
9;03/06/2018;Ceará - CE;0 ;Cruzeiro - MG; 1
9;04/06/2018;Paraná - PR;2 ;Fluminense - RJ; 1
10;05/06/2018;São Paulo - SP;0 ;Internacional - RS; 0
10;06/06/2018;Vitória - BA;1 ;Chapecoense - SC; 0
10;06/06/2018;Botafogo - RJ;0 ;Ceará - CE; 0
