Rodada;Data;Time casa;Gols time casa;Time visitante;Gols time visitante
1;18/04/2014;Joinville - SC;3;Portuguesa - SP;0
1;18/04/2014;Vila Nova - GO;0;Luverdense - MT;0
1;18/04/2014;Sampaio Correa - MA;0;Paraná - PR;2
1;18/04/2014;Ponte Preta - SP;1;Icasa - CE;1
1;19/04/2014;Boa - MG;1;Atlético - GO;1
1;19/04/2014;Bragantino - SP;2;Náutico - PE;2
1;19/04/2014;Santa Cruz - PE;1;Abc - RN;1
1;19/04/2014;Vasco da Gama - RJ;1;América - MG;1
1;19/04/2014;Ceará - CE;1;Oeste - SP;0
1;19/04/2014;América - RN;3;Avaí - SC;1
2;22/04/2014;Avaí - SC;1;Bragantino - SP;2
2;25/04/2014;Icasa - CE;0;Sampaio Correa - MA;3
2;25/04/2014;Paraná - PR;2;Joinville - SC;3
2;26/04/2014;Oeste - SP;2;América - RN;1
2;26/04/2014;Náutico - PE;2;Vila Nova - GO;0
2;26/04/2014;Luverdense - MT;2;Vasco da Gama - RJ;1
2;26/04/2014;Atlético - GO;2;Ponte Preta - SP;2
2;26/04/2014;Portuguesa - SP;1;Santa Cruz - PE;1
2;26/04/2014;Abc - RN;1;Boa - MG;0
2;26/04/2014;América - MG;3;Ceará - CE;0
3;29/04/2014;Bragantino - SP;2;Portuguesa - SP;2
3;02/05/2014;Joinville - SC;2;Icasa - CE;1
3;02/05/2014;Santa Cruz - PE;1;Paraná - PR;1
3;03/05/2014;Ponte Preta - SP;2;Luverdense - MT;2
3;03/05/2014;Ceará - CE;2;Náutico - PE;2
3;03/05/2014;Vasco da Gama - RJ;3;Atlético - GO;0
3;03/05/2014;América - RN;0;Abc - RN;2
3;03/05/2014;Boa - MG;1;América - MG;3
3;03/05/2014;Sampaio Correa - MA;2;Oeste - SP;2
3;03/05/2014;Vila Nova - GO;0;Avaí - SC;1
4;06/05/2014;Boa - MG;2;Portuguesa - SP;1
4;09/05/2014;Vila Nova - GO;0;Icasa - CE;1
4;10/05/2014;América - RN;3;Atlético - GO;3
4;10/05/2014;Joinville - SC;1;Náutico - PE;0
4;10/05/2014;Vasco da Gama - RJ;2;Oeste - SP;0
4;10/05/2014;Santa Cruz - PE;0;Luverdense - MT;0
4;10/05/2014;Ponte Preta - SP;2;Abc - RN;1
4;10/05/2014;Ceará - CE;2;Paraná - PR;1
4;10/05/2014;Bragantino - SP;0;América - MG;2
4;07/06/2014;Sampaio Correa - MA;1;Avaí - SC;1
5;13/05/2014;Oeste - SP;1;Ponte Preta - SP;1
5;16/05/2014;Paraná - PR;0;Boa - MG;0
5;17/05/2014;Abc - RN;1;Sampaio Correa - MA;0
5;17/05/2014;Avaí - SC;1;Ceará - CE;1
5;17/05/2014;América - MG;2;Vila Nova - GO;0
5;17/05/2014;Portuguesa - SP;1;América - RN;2
5;17/05/2014;Icasa - CE;1;Santa Cruz - PE;1
5;17/05/2014;Atlético - GO;0;Joinville - SC;0
5;17/05/2014;Luverdense - MT;2;Bragantino - SP;0
5;12/08/2014;Náutico - PE;0;Vasco da Gama - RJ;1
6;20/05/2014;Avaí - SC;2;Paraná - PR;1
6;20/05/2014;América - MG;3;Joinville - SC;1
6;20/05/2014;Oeste - SP;1;Santa Cruz - PE;1
6;20/05/2014;Ponte Preta - SP;1;Vila Nova - GO;0
6;20/05/2014;Atlético - GO;2;Abc - RN;0
6;20/05/2014;Vasco da Gama - RJ;1;Sampaio Correa - MA;1
6;20/05/2014;Náutico - PE;2;Portuguesa - SP;1
6;20/05/2014;Luverdense - MT;4;Boa - MG;2
6;20/05/2014;Icasa - CE;3;Bragantino - SP;0
6;20/05/2014;América - RN;0;Ceará - CE;1
7;23/05/2014;Santa Cruz - PE;1;América - MG;1
7;23/05/2014;Bragantino - SP;3;Oeste - SP;0
7;23/05/2014;Boa - MG;2;Avaí - SC;0
7;23/05/2014;Ceará - CE;3;Ponte Preta - SP;2
7;24/05/2014;Portuguesa - SP;2;Atlético - GO;0
7;24/05/2014;Vila Nova - GO;1;América - RN;3
7;24/05/2014;Joinville - SC;0;Vasco da Gama - RJ;0
7;24/05/2014;Sampaio Correa - MA;1;Luverdense - MT;0
7;24/05/2014;Abc - RN;3;Icasa - CE;0
7;24/05/2014;Paraná - PR;2;Náutico - PE;0
8;27/05/2014;Abc - RN;0;Oeste - SP;1
8;27/05/2014;Joinville - SC;1;América - RN;0
8;27/05/2014;Boa - MG;0;Santa Cruz - PE;2
8;27/05/2014;Portuguesa - SP;1;Sampaio Correa - MA;4
8;27/05/2014;Paraná - PR;1;Ponte Preta - SP;2
8;27/05/2014;Atlético - GO;3;América - MG;0
8;27/05/2014;Bragantino - SP;1;Vasco da Gama - RJ;1
8;27/05/2014;Ceará - CE;4;Vila Nova - GO;0
8;27/05/2014;Luverdense - MT;1;Icasa - CE;0
8;27/05/2014;Náutico - PE;0;Avaí - SC;1
9;30/05/2014;Oeste - SP;2;Paraná - PR;2
9;30/05/2014;Avaí - SC;0;Abc - RN;1
9;30/05/2014;América - RN;2;Luverdense - MT;0
9;30/05/2014;Santa Cruz - PE;2;Joinville - SC;0
9;31/05/2014;América - MG;1;Náutico - PE;3
9;31/05/2014;Ponte Preta - SP;1;Boa - MG;0
9;31/05/2014;Vasco da Gama - RJ;1;Portuguesa - SP;1
9;31/05/2014;Sampaio Correa - MA;2;Ceará - CE;2
9;31/05/2014;Icasa - CE;1;Atlético - GO;0
9;31/05/2014;Vila Nova - GO;1;Bragantino - SP;1
10;03/06/2014;Portuguesa - SP;2;América - MG;1
10;03/06/2014;Sampaio Correa - MA;3;América - RN;0
10;03/06/2014;Bragantino - SP;1;Ceará - CE;2
10;03/06/2014;Santa Cruz - PE;2;Ponte Preta - SP;1
10;03/06/2014;Boa - MG;0;Vasco da Gama - RJ;2
10;03/06/2014;Icasa - CE;0;Avaí - SC;2
10;03/06/2014;Abc - RN;1;Náutico - PE;1
10;06/06/2014;Paraná - PR;0;Luverdense - MT;2
10;06/06/2014;Joinville - SC;1;Vila Nova - GO;0
10;22/07/2014;Atlético - GO;4;Oeste - SP;2
11;15/07/2014;Avaí - SC;2;Atlético - GO;1
11;15/07/2014;América - MG;1;Paraná - PR;0
11;15/07/2014;Ponte Preta - SP;0;Portuguesa - SP;0
11;15/07/2014;Vila Nova - GO;0;Boa - MG;2
11;15/07/2014;Náutico - PE;1;Sampaio Correa - MA;0
11;15/07/2014;América - RN;4;Bragantino - SP;2
11;15/07/2014;Luverdense - MT;3;Abc - RN;1
11;15/07/2014;Ceará - CE;1;Joinville - SC;3
11;15/07/2014;Vasco da Gama - RJ;4;Santa Cruz - PE;1
11;15/07/2014;Oeste - SP;0;Icasa - CE;0
12;18/07/2014;América - MG;3;Oeste - SP;0
12;18/07/2014;Abc - RN;2;Joinville - SC;1
12;18/07/2014;Portuguesa - SP;1;Paraná - PR;1
12;18/07/2014;Avaí - SC;1;Ponte Preta - SP;0
12;19/07/2014;Ceará - CE;2;Icasa - CE;1
12;19/07/2014;Vila Nova - GO;3;Santa Cruz - PE;2
12;19/07/2014;Luverdense - MT;0;Atlético - GO;2
