ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Sport;Event;Medal
386;Alexandre Abeid;M;22;194;92;Brazil;BRA;1972 Summer;1972;Summer;Munich;Volleyball;Volleyball Men's Volleyball;NA
386;Alexandre Abeid;M;26;194;92;Brazil;BRA;1976 Summer;1976;Summer;Montreal;Volleyball;Volleyball Men's Volleyball;NA
388;Abel Carlos da Silva Braga;M;19;190;73;Brazil;BRA;1972 Summer;1972;Summer;Munich;Football;Football Men's Football;NA
451;Diana Monteiro Abla;F;21;175;75;Brazil;BRA;2016 Summer;2016;Summer;Rio de Janeiro;Water Polo;Water Polo Women's Water Polo;NA
565;Glauclio Serro Abreu;M;26;185;75;Brazil;BRA;2004 Summer;2004;Summer;Athina;Boxing;Boxing Men's Middleweight;NA
569;Paulo Francisco Joazeiro de Abreu;M;18;176;78;Brazil;BRA;1984 Summer;1984;Summer;Los Angeles;Water Polo;Water Polo Men's Water Polo;NA
695;Ricardo Augusto Amaral Acioly;M;24;179;78;Brazil;BRA;1988 Summer;1988;Summer;Seoul;Tennis;Tennis Men's Doubles;NA
756;Adalberto Pereira da Silva;M;25;189;105;Brazil;BRA;2004 Summer;2004;Summer;Athina;Handball;Handball Men's Handball;NA
918;Ademir Roque Kaefer;M;24;179;74;Brazil;BRA;1984 Summer;1984;Summer;Los Angeles;Football;Football Men's Football;Silver
918;Ademir Roque Kaefer;M;28;179;74;Brazil;BRA;1988 Summer;1988;Summer;Seoul;Football;Football Men's Football;Silver
925;Adenzia Aparecida Ferreira da Silva;F;25;187;65;Brazil;BRA;2012 Summer;2012;Summer;London;Volleyball;Volleyball Women's Volleyball;Gold
925;Adenzia Aparecida Ferreira da Silva;F;29;187;65;Brazil;BRA;2016 Summer;2016;Summer;Rio de Janeiro;Volleyball;Volleyball Women's Volleyball;NA
933;Adsio Alves Machado;M;19;NA;NA;Brazil;BRA;1952 Summer;1952;Summer;Helsinki;Football;Football Men's Football;NA
935;Adevaldo Virglio Netto;M;21;NA;NA;Brazil;BRA;1964 Summer;1964;Summer;Tokyo;Football;Football Men's Football;NA
947;Adilson de Freitas Nascimento;M;20;195;88;Brazil;BRA;1972 Summer;1972;Summer;Munich;Basketball;Basketball Men's Basketball;NA
947;Adilson de Freitas Nascimento;M;28;195;88;Brazil;BRA;1980 Summer;1980;Summer;Moskva;Basketball;Basketball Men's Basketball;NA
947;Adilson de Freitas Nascimento;M;32;195;88;Brazil;BRA;1984 Summer;1984;Summer;Los Angeles;Basketball;Basketball Men's Basketball;NA
965;Alan Adler;M;20;186;80;Brazil;BRA;1984 Summer;1984;Summer;Los Angeles;Sailing;Sailing Mixed Two Person Heavyweight Dinghy;NA
965;Alan Adler;M;24;186;80;Brazil;BRA;1988 Summer;1988;Summer;Seoul;Sailing;Sailing Mixed Two Person Heavyweight Dinghy;NA
965;Alan Adler;M;28;186;80;Brazil;BRA;1992 Summer;1992;Summer;Barcelona;Sailing;Sailing Mixed Two Person Heavyweight Dinghy;NA
966;Daniel Adler;M;26;180;72;Brazil;BRA;1984 Summer;1984;Summer;Los Angeles;Sailing;Sailing Mixed Three Person Keelboat;Silver
966;Daniel Adler;M;30;180;72;Brazil;BRA;1988 Summer;1988;Summer;Seoul;Sailing;Sailing Mixed Three Person Keelboat;NA
966;Daniel Adler;M;34;180;72;Brazil;BRA;1992 Summer;1992;Summer;Barcelona;Sailing;Sailing Mixed Three Person Keelboat;NA
969;Harry Herchel Adler;M;36;NA;NA;Clementine V;BRA;1964 Summer;1964;Summer;Tokyo;Sailing;Sailing Mixed Two Person Keelboat;NA
1020;Adriana Aparecida dos Santos;F;21;180;61;Brazil;BRA;1992 Summer;1992;Summer;Barcelona;Basketball;Basketball Women's Basketball;NA
1020;Adriana Aparecida dos Santos;F;25;180;61;Brazil;BRA;1996 Summer;1996;Summer;Atlanta;Basketball;Basketball Women's Basketball;Silver
1020;Adriana Aparecida dos Santos;F;29;180;61;Brazil;BRA;2000 Summer;2000;Summer;Sydney;Basketball;Basketball Women's Basketball;Bronze
1023;"Adriana ""Adrianinha"" Moiss Pinto";F;21;170;65;Brazil;BRA;2000 Summer;2000;Summer;Sydney;Basketball;Basketball Women's Basketball;Bronze
1023;"Adriana ""Adrianinha"" Moiss Pinto";F;25;170;65;Brazil;BRA;2004 Summer;2004;Summer;Athina;Basketball;Basketball Women's Basketball;NA
1023;"Adriana ""Adrianinha"" Moiss Pinto";F;29;170;65;Brazil;BRA;2008 Summer;2008;Summer;Beijing;Basketball;Basketball Women's Basketball;NA
1023;"Adriana ""Adrianinha"" Moiss Pinto";F;33;170;65;Brazil;BRA;2012 Summer;2012;Summer;London;Basketball;Basketball Women's Basketball;NA
1023;"Adriana ""Adrianinha"" Moiss Pinto";F;37;170;65;Brazil;BRA;2016 Summer;2016;Summer;Rio de Janeiro;Basketball;Basketball Women's Basketball;NA
1024;Elisngela Maria Adriano;F;23;180;96;Brazil;BRA;1996 Summer;1996;Summer;Atlanta;Athletics;Athletics Women's Shot Put;NA
1024;Elisngela Maria Adriano;F;32;180;96;Brazil;BRA;2004 Summer;2004;Summer;Athina;Athletics;Athletics Women's Shot Put;NA
1024;Elisngela Maria Adriano;F;32;180;96;Brazil;BRA;2004 Summer;2004;Summer;Athina;Athletics;Athletics Women's Discus Throw;NA
1024;Elisngela Maria Adriano;F;36;180;96;Brazil;BRA;2008 Summer;2008;Summer;Beijing;Athletics;Athletics Women's Discus Throw;NA
1132;Agberto Correa de Matos;M;24;193;97;Brazil;BRA;1996 Summer;1996;Summer;Atlanta;Handball;Handball Men's Handball;NA
1132;Agberto Correa de Matos;M;32;193;97;Brazil;BRA;2004 Summer;2004;Summer;Athina;Handball;Handball Men's Handball;NA
1194;Eduardo Nilton Agra Galvo;M;26;194;78;Brazil;BRA;1984 Summer;1984;Summer;Los Angeles;Basketball;Basketball Men's Basketball;NA
1203;Renzo Pasquale Zeglio Agresta;M;19;181;76;Brazil;BRA;2004 Summer;2004;Summer;Athina;Fencing;Fencing Men's Sabre, Individual;NA
1203;Renzo Pasquale Zeglio Agresta;M;23;181;76;Brazil;BRA;2008 Summer;2008;Summer;Beijing;Fencing;Fencing Men's Sabre, Individual;NA
1203;Renzo Pasquale Zeglio Agresta;M;27;181;76;Brazil;BRA;2012 Summer;2012;Summer;London;Fencing;Fencing Men's Sabre, Individual;NA
1203;Renzo Pasquale Zeglio Agresta;M;31;181;76;Brazil;BRA;2016 Summer;2016;Summer;Rio de Janeiro;Fencing;Fencing Men's Sabre, Individual;NA
1229;Jos Luiz Aguiar e Ramalho;M;29;NA;NA;Brazil;BRA;1992 Summer;1992;Summer;Barcelona;Handball;Handball Men's Handball;NA
2291;Armando Albano;M;27;NA;NA;Brazil;BRA;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;NA
2343;"Alberto ""Alberto Leguel"" Ribeiro Marques";M;23;174;72;Brazil;BRA;1976 Summer;1976;Summer;Montreal;Football;Football Men's Football;NA
2376;Samuel Albrecht;M;26;180;71;Brazil;BRA;2008 Summer;2008;Summer;Beijing;Sailing;Sailing Men's Two Person Dinghy;NA
