"id_cidade";"nome_cidade";"id_estado";"uf";"nome_estado";"id_regiao";"nome_regiao";"automovel";"bonde";"caminhao";"caminhao_trator";"caminhonete";"camioneta";"chassi_plataforma";"ciclomotor";"micro_onibus";"motocicleta";"motoneta";"onibus";"quadriciclo";"reboque";"semirreboque";"side_car";"outros";"trator_de_esteiras";"trator_de_rodas";"triciclo";"utilitario";"total_frota"
79;Acrelândia;1;AC;Acre;1;Norte;1347;0;344;27;642;49;0;2;10;3210;374;42;0;67;39;0;0;0;0;0;10;6163
80;Assis Brasil;1;AC;Acre;1;Norte;319;0;25;0;146;18;0;2;3;1118;123;3;0;15;0;0;0;0;0;0;2;1774
81;Brasiléia;1;AC;Acre;1;Norte;2287;0;279;154;1165;80;0;4;6;4435;960;19;0;112;203;0;0;0;0;2;31;9737
82;Bujari;1;AC;Acre;1;Norte;615;0;121;30;269;15;0;7;5;938;51;13;0;23;38;0;0;0;0;1;3;2129
83;Capixaba;1;AC;Acre;1;Norte;607;0;88;3;227;30;0;5;3;1054;123;17;0;22;4;0;0;0;0;0;1;2184
84;Cruzeiro do Sul;1;AC;Acre;1;Norte;6830;0;731;73;2807;307;1;32;59;15538;6638;84;0;42;156;0;1;0;0;10;107;33416
85;Epitaciolândia;1;AC;Acre;1;Norte;1761;0;256;118;829;79;0;4;6;2431;709;16;0;98;147;0;0;0;0;3;16;6473
86;Feijó;1;AC;Acre;1;Norte;570;0;116;5;344;32;0;33;3;2077;616;12;0;12;9;0;0;0;0;4;12;3845
87;Jordão;1;AC;Acre;1;Norte;10;0;5;0;13;1;0;0;0;65;28;0;0;0;0;0;0;0;0;0;0;122
88;Mâncio Lima;1;AC;Acre;1;Norte;615;0;96;4;313;29;0;1;4;2095;528;15;0;1;5;0;0;0;0;0;7;3713
89;Manoel Urbano;1;AC;Acre;1;Norte;219;0;56;5;147;6;0;2;0;566;102;6;0;25;7;0;0;0;0;0;2;1143
90;Marechal Thaumaturgo;1;AC;Acre;1;Norte;9;0;13;0;34;0;0;0;0;255;34;9;0;0;0;0;0;0;0;0;0;354
