"id";"nome_estado";"uf";"populacao_estimada_2019"
1;Acre;AC;881935
2;Alagoas;AL;3337357
3;Amazonas;AM;4144597
4;Amapá;AP;845731
5;Bahia;BA;14873064
6;Ceará;CE;9132078
7;Distrito Federal;DF;3015268
8;Espírito Santo;ES;4018650
9;Goiás;GO;7018354
10;Maranhão;MA;7075181
11;Minas Gerais;MG;21168791
12;Mato Grosso do Sul;MS;2778986
13;Mato Grosso;MT;3484466
14;Pará;PA;8602865
15;Paraíba;PB;4018127
16;Pernambuco;PE;9557071
17;Piauí;PI;3273227
18;Paraná;PR;11433957
19;Rio de Janeiro;RJ;17264943
20;Rio Grande do Norte;RN;3506853
21;Rondônia;RO;1777225
22;Roraima;RR;605761
23;Rio Grande do Sul;RS;11377239
24;Santa Catarina;SC;7164788
25;Sergipe;SE;2298696
26;São Paulo;SP;45919049
27;Tocantins;TO;1572866
