"id";"localidade";"id_localidade";"ano";"espvida";"fectot";"mort1";"mort5";"razdep";"sobre40";"sobre60";"t_env";"e_anosestudo";"t_analf11a14";"t_analf15a17";"t_analf15m";"t_analf18a24";"t_analf18m";"t_analf25a29";"t_analf25m";"t_atraso_0_basico";"t_atraso_0_fund";"t_atraso_0_med";"t_atraso_1_basico";"t_atraso_1_fund";"t_atraso_1_med";"t_atraso_2_basico";"t_atraso_2_fund";"t_atraso_2_med";"t_fbbas";"t_fbfund";"t_fbmed";"t_fbpre";"t_fbsuper";"t_flbas";"t_flfund";"t_flmed";"t_flpre";"t_flsuper";"t_freq0a3";"t_freq11a14";"t_freq15a17";"t_freq18a24";"t_freq25a29";"t_freq4a5";"t_freq4a6";"t_freq5a6";"t_freq6";"t_freq6a14";"t_freq6a17";"t_freqfund1517";"t_freqfund1824";"t_freqfund45";"t_freqmed1824";"t_freqmed614";"t_freqsuper1517";"t_fund11a13";"t_fund12a14";"t_fund15a17";"t_fund16a18";"t_fund18a24";"t_fund18m";"t_fund25m";"t_med18a20";"t_med18a24";"t_med18m";"t_med19a21";"t_med25m";"t_super25m";"corte1";"corte2";"corte3";"corte4";"corte9";"gini";"pind";"pindcri";"pmpob";"pmpobcri";"ppob";"ppobcri";"pren10ricos";"pren20";"pren20ricos";"pren40";"pren60";"pren80";"prentrab";"r1040";"r2040";"rdpc";"rdpc1";"rdpc10";"rdpc2";"rdpc3";"rdpc4";"rdpc5";"rdpct";"rind";"rmpob";"rpob";"theil";"cpr";"emp";"p_agro";"p_com";"p_constr";"p_extr";"p_formal";"p_fund";"p_med";"p_serv";"p_siup";"p_super";"p_transf";"ren0";"ren1";"ren2";"ren3";"ren5";"renocup";"t_ativ";"t_ativ1014";"t_ativ1517";"t_ativ1824";"t_ativ18m";"t_ativ2529";"t_des";"t_des1014";"t_des1517";"t_des1824";"t_des18m";"t_des2529";"theiltrab";"trabcc";"trabpub";"trabsc";"t_agua";"t_banagua";"t_dens";"t_lixo";"t_luz";"agua_esgoto";"parede";"t_crifundin_todos";"t_fora4a5";"t_fora6a14";"t_fundin_todos";"t_fundin_todos_mmeio";"t_fundin18minf";"t_m10a14cf";"t_m15a17cf";"t_mulchefefif014";"t_nestuda_ntrab_mmeio";"t_ocupdesloc_1";"t_rmaxidoso";"t_sluz";"homem0a4";"homem10a14";"homem15a19";"homem20a24";"homem25a29";"homem30a34";"homem35a39";"homem40a44";"homem45a49";"homem50a54";"homem55a59";"homem5a9";"homem60a64";"homem65a69";"homem70a74";"homem75a79";"homemtot";"homens80";"mulh0a4";"mulh10a14";"mulh15a19";"mulh20a24";"mulh25a29";"mulh30a34";"mulh35a39";"mulh40a44";"mulh45a49";"mulh50a54";"mulh55a59";"mulh5a9";"mulh60a64";"mulh65a69";"mulh70a74";"mulh75a79";"mulher80";"mulhertot";"pea";"pea1014";"pea1517";"pea18m";"peso1";"peso1114";"peso1113";"peso1214";"peso13";"peso15";"peso1517";"peso1524";"peso1618";"peso18";"peso1820";"peso1824";"peso1921";"peso25";"peso4";"peso5";"peso6";"peso610";"peso617";"peso65";"pesom1014";"pesom1517";"pesom15m";"pesom25m";"pesorur";"pesotot";"pesourb";"pia";"pia1014";"pia1517";"pia18m";"pop";"popt";"i_escolaridade";"i_freq_prop";"idhm";"idhm_e";"idhm_l";"idhm_r";"criado_em";"id_cidade";"nome_cidade";"nome_alternativo_cidade";"ibge_cidade";"id_microrregiao";"nome_microrregiao";"id_macrorregiao";"nome_macrorregiao";"id_estado";"nome_estado";"uf";"ibge_estado";"id_regiao";"nome_regiao";"ibge_regiao";"id_pais";"nome_pais"
3267;Municipal;4706;1991;68.87;2.43;25.88;29.31;55.63;91.43;78.17;7.15;10.25;1.88;2.24;13.87;2.57;14.88;2.46;17.70;63.64;68.50;66.29;15.89;15.19;19.27;20.47;16.32;14.44;87.88;99.23;50.26;37.71;15.36;81.54;87.76;36.63;37.71;10.08;;88.28;63.10;22.32;5.15;;;50.76;61.13;87.86;82.12;23.96;5.52;;4.56;0.11;1.15;68.67;71.03;44.42;51.78;52.37;33.90;29.55;25.04;31.38;24.42;30.13;22.79;8.24;133.13;219.38;338.47;604.26;1090.63;0.57;4.08;6.76;21.25;27.71;46.52;52.70;47.07;3.58;62.44;10.20;20.65;37.56;86.62;18.46;12.24;525.09;94.12;2471.46;173.68;274.43;443.96;1639.24;525.14;45.74;96.66;148.38;0.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91.27;89.45;29.33;95.36;98.85;0.08;;;;12.14;28.02;18.52;;0.00;12.88;7.51;;;2.91;1.15;1438;1620;1505;1360;1322;1199;1068;890;764;697;697;1576;567;445;306;190;15829;185;1454;1580;1486;1411;1366;1252;1132;910;865;776;775;1507;578;448;300;247;175;16262;;;;;562;2554;1920;1889;1730;22916;1832;5762;1792;21084;1724;3930;1648;17154;600;608;611;3121;7507;2296;1580;1026;11721;8824;4429;32091;27662;;;;;31841;31838;0.34;0.47;0.59;0.42;0.73;0.67;2020-07-13 13:05:17;4706;Adamantina;ADAMANTINA;3500105;327;Assis;91;Presidente Prudente;26;São Paulo;SP;35;3;Sudeste;;1;Brasil
3268;Municipal;4707;1991;70.04;2.95;22.84;25.87;60.94;92.38;80.28;6.42;9.16;1.62;2.73;20.73;4.65;22.33;6.64;26.42;62.93;66.38;100.00;14.53;16.75;0.00;22.55;16.87;0.00;78.59;96.65;21.76;4.75;1.14;77.49;88.57;17.21;4.75;1.14;;84.88;45.19;3.37;0.00;;;37.68;80.73;88.57;78.11;25.44;0.00;;2.22;0.00;0.00;71.82;64.11;17.21;9.65;32.52;21.13;18.53;13.60;16.78;13.24;13.86;12.43;2.80;164.54;211.55;280.72;493.61;676.94;0.41;1.62;1.31;15.66;19.91;54.12;57.42;32.02;6.32;48.70;17.13;31.26;51.30;91.42;7.47;5.68;351.62;111.16;1125.76;190.07;248.28;352.39;856.19;351.62;42.54;100.31;173.15;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94.67;91.53;37.29;98.15;99.10;0.00;;;;11.43;38.04;23.84;;0.00;18.53;3.05;;;2.49;0.90;168;165;142;145;160;137;123;82;72;66;65;172;53;38;29;26;1654;11;187;152;143;140;141;126;106;74;83;63;54;185;58;42;28;21;15;1618;;;;;67;247;201;169;215;2243;183;570;179;2060;143;387;158;1673;73;74;66;353;783;210;152;117;1094;811;835;3272;2437;;;;;3272;3272;0.21;0.35;0.51;0.30;0.75;0.61;2020-07-13 13:05:17;4707;Adolfo;ADOLFO;3500204;333;Dracena;93;São José do Rio Preto;26;São Paulo;SP;35;3;Sudeste;;1;Brasil
3269;Municipal;4708;1991;68.14;2.69;27.87;31.55;59.44;90.81;76.84;5.84;9.89;6.20;5.28;13.35;5.49;14.12;6.04;16.24;52.93;57.37;57.64;22.18;22.19;25.94;24.90;20.44;16.42;81.25;92.27;42.79;22.31;4.52;72.71;80.41;18.67;22.31;2.25;;76.65;46.51;21.39;1.87;;;34.08;37.42;80.70;73.09;26.13;5.51;;9.87;0.29;0.00;48.06;50.94;21.15;26.63;39.08;23.41;19.45;6.27;15.30;13.86;11.48;13.49;4.50;150.43;217.42;298.77;470.10;775.72;0.49;3.33;5.50;16.51;25.23;50.45;60.59;40.68;5.02;55.69;13.90;26.30;44.31;83.58;11.70;8.01;412.97;103.59;1679.79;183.44;255.94;371.93;1149.95;412.97;49.25;94.84;162.45;0.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98.66;97.94;44.94;96.34;100.00;0.32;;;;19.30;34.98;21.44;;0.00;10.22;12.24;;;3.50;0.00;1203;1305;1141;1014;1022;970;895;688;521;408;414;1277;364;283;216;108;11888;59;1193;1132;1124;1001;997;885;760;704;474;444;450;1236;377;308;179;118;93;11475;;;;;479;1888;1424;1414;1437;16017;1402;4280;1359;14615;1256;2878;1241;11737;480;469;470;2593;5883;1364;1132;667;7914;5789;4133;23363;19230;;;;;23331;23331;0.23;0.27;0.49;0.26;0.72;0.63;2020-07-13 13:05:17;4708;Aguaí;AGUAI;3500303;352;Jundiaí;96;Campinas;26;São Paulo;SP;35;3;Sudeste;;1;Brasil
3270;Municipal;4709;1991;71.48;2.52;19.39;21.97;59.83;91.05;78.69;8.43;10.48;2.33;1.10;11.87;2.54;12.76;2.39;14.87;60.62;64.36;72.29;22.56;24.63;21.35;16.82;11.01;6.36;80.95;93.48;37.78;18.91;11.73;76.46;84.61;17.50;18.91;7.79;;80.97;44.60;18.01;3.36;;;39.33;68.37;86.28;76.91;25.12;2.46;;5.72;1.68;0.00;69.31;68.21;33.58;39.36;40.14;27.84;25.25;25.16;24.69;18.07;26.68;16.68;7.71;137.90;242.10;376.08;690.11;1100.74;0.54;4.94;9.33;20.32;28.48;42.44;53.29;42.38;3.41;58.87;10.80;22.34;41.13;80.45;15.70;10.90;531.44;90.70;2252.44;196.18;306.68;499.46;1564.15;531.44;44.62;91.33;149.24;0.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96.83;95.35;37.18;92.86;98.08;0.24;;;;13.72;34.81;15.07;;1.16;17.41;7.13;;;2.36;1.92;321;369;322;271;284;290;227;175;145;128;136;319;144;118;71;43;3401;38;276;296;278;241;302;257;225;168;142;138;148;360;166;100;84;57;53;3291;;;;;110;516;391;373;342;4751;364;1112;356;4387;352;748;351;3639;145;133;113;695;1575;564;296;170;2359;1840;1434;6692;5258;;;;;6619;6619;0.28;0.42;0.58;0.37;0.78;0.67;2020-07-13 13:05:17;4709;Águas da Prata;AGUAS DA PRATA;3500402;352;Jundiaí;96;Campinas;26;São Paulo;SP;35;3;Sudeste;;1;Brasil
3271;Municipal;4710;1991;70.33;2.38;22.11;25.06;56.16;92.61;80.79;7.02;10.06;1.49;2.79;13.70;4.41;14.63;5.99;17.03;56.72;61.66;59.52;22.34;23.09;23.84;20.94;15.25;16.64;86.44;100.85;41.84;23.90;7.22;79.88;88.81;25.26;23.90;4.42;;89.64;54.38;15.91;3.53;;;50.10;66.67;89.37;80.83;25.98;4.49;;6.70;0.32;0.00;65.71;73.09;30.83;31.55;39.96;25.27;21.89;16.23;19.60;14.76;15.66;13.64;5.60;108.12;189.38;316.14;622.04;943.96;0.59;8.63;11.44;28.24;32.20;48.74;55.47;49.03;2.93;63.82;8.84;19.31;36.18;83.30;22.18;14.44;498.51;72.92;2444.00;147.42;260.99;420.43;1590.77;500.02;48.45;87.57;129.85;0.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99.24;97.43;36.01;89.84;98.88;0.00;;;;10.63;35.89;20.45;;0.00;6.58;3.99;;;3.66;1.12;515;562;525;522;473;437;370;335;248;249;238;599;213;131;102;81;5652;56;483;556;490;486;471;420;394;346;257;269;232;534;215;155;112;74;79;5568;;;;;175;871;691;650;599;7973;628;2022;619;7346;609;1395;620;5951;224;229;237;1150;2649;788;556;288;3996;3021;607;11220;10613;;;;;10870;10837;0.25;0.41;0.56;0.35;0.76;0.66;2020-07-13 13:05:17;4710;Águas de Lindóia;AGUAS DE LINDOIA;3500501;356;Mogi Guaçu;96;Campinas;26;São Paulo;SP;35;3;Sudeste;;1;Brasil
3272;Municipal;4711;1991;69.51;2.53;24.19;27.40;55.57;91.96;79.33;6.57;10.21;5.22;4.55;12.35;3.87;13.10;3.42;15.19;64.64;71.03;70.94;19.16;19.64;16.66;16.21;9.33;12.40;84.72;91.65;64.45;33.29;5.96;72.45;78.69;27.05;33.29;3.86;;75.05;56.97;22.74;4.89;;;57.27;69.54;79.08;73.44;26.03;3.15;;14.82;0.39;0.00;64.62;56.59;27.05;37.18;48.64;28.76;24.18;13.92;19.56;19.47;15.54;19.45;6.16;118.47;197.44;310.85;606.43;846.18;0.55;4.77;7.53;23.42;35.09;50.82;62.90;44.63;3.72;59.95;10.67;21.82;40.05;71.28;16.74;11.24;456.63;85.01;2037.74;158.50;254.74;416.27;1368.63;456.63;53.94;90.25;144.99;0.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95.59;94.05;30.86;98.71;93.65;0.58;;;;20.92;33.67;20.44;;0.00;8.53;3.19;;;2.53;6.35;207;170;196;158;169;156;148;123;96;78;83;197;86;44;37;23;1986;15;194;173;180;173;153;147;129;112;81;87;87;195;63;59;40;21;17;1911;;;;;86;268;200;199;232;2761;242;707;208;2519;182;465;171;2054;83;79;84;388;898;256;173;129;1349;996;1456;3897;2441;;;;;3781;3781;0.29;0.41;0.56;0.36;0.74;0.65;2020-07-13 13:05:17;4711;Águas de Santa Bárbara;AGUAS DE SANTA BARBARA;3500550;315;Santos;88;Sorocaba;26;São Paulo;SP;35;3;Sudeste;;1;Brasil
3273;Municipal;4712;1991;72.08;2.56;18.03;20.44;60.40;93.92;83.82;11.73;10.26;0.86;1.25;4.77;3.30;5.01;2.84;5.33;64.36;74.58;58.71;16.16;14.20;41.29;19.49;11.22;0.00;108.99;124.91;58.46;35.58;12.13;93.56;96.24;34.66;35.58;7.40;;96.55;81.89;35.23;0.00;;;37.50;44.04;97.24;93.56;47.24;15.02;;9.89;1.00;0.00;75.22;82.19;34.66;17.69;52.15;44.94;43.62;6.07;19.01;28.20;22.44;29.88;13.73;312.15;432.49;890.06;1786.91;2851.94;0.54;0.00;0.00;2.80;4.38;12.94;18.06;39.39;3.83;59.31;9.96;20.73;40.69;66.51;15.82;11.91;1185.28;227.09;4668.66;363.27;638.16;1183.02;3514.88;1185.28;0.00;124.82;187.40;0.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100.00;100.00;33.82;98.96;100.00;0.00;;;;2.76;22.80;9.98;;0.00;10.00;7.01;;;2.13;0.00;79;69;61;64;76;66;44;44;47;38;24;68;37;28;31;17;805;12;65;77;64;73;65;74;56;47;58;40;37;82;43;42;31;16;22;892;;;;;31;116;84;84;85;1257;80;262;72;1177;74;182;79;995;28;30;29;150;346;199;77;44;668;531;0;1697;1697;;;;;1614;1614;0.45;0.38;0.63;0.41;0.79;0.80;2020-07-13 13:05:17;4712;Águas de São Pedro;AGUAS DE SAO PEDRO;3500600;348;Ituverava;96;Campinas;26;São Paulo;SP;35;3;Sudeste;;1;Brasil
3274;Municipal;4713;1991;68.07;2.78;28.06;31.77;66.35;90.75;76.71;5.05;9.49;5.17;3.75;14.03;5.34;15.13;6.85;17.83;53.50;57.48;64.84;19.37;19.02;22.38;27.13;23.50;12.78;81.42;93.19;39.55;27.80;5.31;73.87;80.51;23.11;27.80;4.09;;81.29;50.31;17.42;5.20;;;35.18;42.25;80.81;74.12;26.64;6.81;;5.61;0.13;0.00;52.68;53.95;28.26;29.38;35.57;26.36;23.89;10.22;17.11;15.66;14.27;15.28;4.38;141.03;227.53;310.27;510.39;799.17;0.47;2.59;4.51;19.31;27.94;46.22;56.89;37.56;5.11;53.07;14.36;27.55;46.93;82.56;10.46;7.39;404.41;103.26;1519.09;187.19;266.53;391.94;1073.11;405.39;41.26;101.89;157.70;0.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86.77;84.70;49.15;78.38;96.27;0.99;;;;19.19;30.48;17.18;;0.00;5.39;9.05;;;1.59;3.73;1714;1800;1542;1367;1298;1223;1039;810;602;502;415;1834;374;274;154;149;15198;101;1697;1692;1471;1331;1328;1123;999;770;578;504;398;1731;391;333;215;153;139;14853;;;;;631;2766;2058;2054;2057;19583;1891;5711;1804;17692;1678;3820;1682;13872;723;682;726;3609;8266;1518;1692;923;9733;6931;2752;30051;27299;;;;;29893;29821;0.26;0.32;0.51;0.30;0.72;0.63;2020-07-13 13:05:17;4713;Agudos;AGUDOS;3500709;317;Itapeva;89;Bauru;26;São Paulo;SP;35;3;Sudeste;;1;Brasil
3275;Municipal;4714;1991;66.29;4.04;33.32;37.69;72.48;89.16;73.40;5.37;8.47;1.81;3.14;16.19;5.19;17.75;7.20;20.81;43.07;46.67;55.91;30.74;31.72;44.09;26.19;21.61;0.00;69.78;85.77;22.92;33.21;6.70;63.63;72.78;14.62;33.21;6.70;;73.92;40.59;25.10;0.00;;;27.83;21.85;74.73;66.05;22.19;10.02;;5.25;0.00;0.00;28.06;35.26;24.68;33.65;25.63;9.42;5.43;13.71;10.17;4.70;15.53;3.36;0.91;131.63;180.21;255.42;376.08;846.18;0.50;5.14;8.46;21.47;30.39;59.28;71.56;42.74;5.19;57.13;14.11;25.83;42.87;76.57;12.11;8.10;361.56;93.86;1545.40;161.30;211.80;308.05;1032.81;361.56;59.88;96.59;154.04;0.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77.19;77.19;49.53;88.04;86.17;0.00;;;;25.27;41.50;22.92;;0.00;6.56;0.00;;;1.80;13.83;198;228;190;129;121;113;115;81;79;55;63;215;50;41;31;19;1739;11;175;206;151;119;115;134;104;69;70;51;55;186;47;33;25;8;9;1557;;;;;76;332;265;248;221;2088;223;589;211;1865;176;366;162;1499;76;83;75;420;975;177;206;118;990;720;2692;3296;604;;;;;3255;3255;0.09;0.24;0.42;0.17;0.69;0.61;2020-07-13 13:05:17;4714;Alambari;ALAMBARI;3500758;314;São Paulo;88;Sorocaba;26;São Paulo;SP;35;3;Sudeste;;1;Brasil
3276;Municipal;4715;1991;68.93;2.09;25.70;29.11;50.95;91.48;78.29;7.82;11.09;3.13;2.31;19.91;3.21;21.51;4.91;26.00;68.44;74.82;68.60;17.27;16.59;19.52;14.30;8.60;11.88;86.03;96.14;60.95;0.00;9.92;75.82;78.68;44.53;0.00;9.35;;84.56;64.70;24.49;4.36;;;17.12;30.45;80.30;75.82;20.17;9.45;;5.68;1.62;0.00;68.67;81.02;53.00;49.74;52.25;27.79;21.96;29.22;30.01;16.04;29.99;12.71;4.65;94.02;178.78;270.31;470.10;705.15;0.55;10.41;14.26;33.82;44.64;58.10;68.19;45.22;3.43;60.00;10.05;21.87;40.00;88.29;17.99;11.94;378.46;64.93;1711.36;125.31;223.70;343.00;1135.37;378.46;47.24;83.58;133.57;0.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93.80;92.46;29.19;96.63;95.20;0.00;;;;19.70;32.28;22.18;;0.00;0.00;9.46;;;7.12;4.80;144;176;181;165;148;129;91;96;111;83;71;153;77;42;46;21;1757;23;139;142;186;151;137;127;120;110;93;87;82;152;69;46;46;19;30;1736;;;;;55;256;195;188;175;2587;216;683;207;2371;219;467;223;1904;53;63;56;304;776;273;142;114;1303;966;1203;3493;2290;;;;;3481;3481;0.28;0.42;0.55;0.37;0.73;0.62;2020-07-13 13:05:17;4715;Alfredo Marcondes;ALFREDO MARCONDES;3500808;326;Marília;91;Presidente Prudente;26;São Paulo;SP;35;3;Sudeste;;1;Brasil
