"id";"localidade";"id_localidade";"ano";"espvida";"fectot";"mort1";"mort5";"razdep";"sobre40";"sobre60";"t_env";"e_anosestudo";"t_analf11a14";"t_analf15a17";"t_analf15m";"t_analf18a24";"t_analf18m";"t_analf25a29";"t_analf25m";"t_atraso_0_basico";"t_atraso_0_fund";"t_atraso_0_med";"t_atraso_1_basico";"t_atraso_1_fund";"t_atraso_1_med";"t_atraso_2_basico";"t_atraso_2_fund";"t_atraso_2_med";"t_fbbas";"t_fbfund";"t_fbmed";"t_fbpre";"t_fbsuper";"t_flbas";"t_flfund";"t_flmed";"t_flpre";"t_flsuper";"t_freq0a3";"t_freq11a14";"t_freq15a17";"t_freq18a24";"t_freq25a29";"t_freq4a5";"t_freq4a6";"t_freq5a6";"t_freq6";"t_freq6a14";"t_freq6a17";"t_freqfund1517";"t_freqfund1824";"t_freqfund45";"t_freqmed1824";"t_freqmed614";"t_freqsuper1517";"t_fund11a13";"t_fund12a14";"t_fund15a17";"t_fund16a18";"t_fund18a24";"t_fund18m";"t_fund25m";"t_med18a20";"t_med18a24";"t_med18m";"t_med19a21";"t_med25m";"t_super25m";"corte1";"corte2";"corte3";"corte4";"corte9";"gini";"pind";"pindcri";"pmpob";"pmpobcri";"ppob";"ppobcri";"pren10ricos";"pren20";"pren20ricos";"pren40";"pren60";"pren80";"prentrab";"r1040";"r2040";"rdpc";"rdpc1";"rdpc10";"rdpc2";"rdpc3";"rdpc4";"rdpc5";"rdpct";"rind";"rmpob";"rpob";"theil";"cpr";"emp";"p_agro";"p_com";"p_constr";"p_extr";"p_formal";"p_fund";"p_med";"p_serv";"p_siup";"p_super";"p_transf";"ren0";"ren1";"ren2";"ren3";"ren5";"renocup";"t_ativ";"t_ativ1014";"t_ativ1517";"t_ativ1824";"t_ativ18m";"t_ativ2529";"t_des";"t_des1014";"t_des1517";"t_des1824";"t_des18m";"t_des2529";"theiltrab";"trabcc";"trabpub";"trabsc";"t_agua";"t_banagua";"t_dens";"t_lixo";"t_luz";"agua_esgoto";"parede";"t_crifundin_todos";"t_fora4a5";"t_fora6a14";"t_fundin_todos";"t_fundin_todos_mmeio";"t_fundin18minf";"t_m10a14cf";"t_m15a17cf";"t_mulchefefif014";"t_nestuda_ntrab_mmeio";"t_ocupdesloc_1";"t_rmaxidoso";"t_sluz";"homem0a4";"homem10a14";"homem15a19";"homem20a24";"homem25a29";"homem30a34";"homem35a39";"homem40a44";"homem45a49";"homem50a54";"homem55a59";"homem5a9";"homem60a64";"homem65a69";"homem70a74";"homem75a79";"homemtot";"homens80";"mulh0a4";"mulh10a14";"mulh15a19";"mulh20a24";"mulh25a29";"mulh30a34";"mulh35a39";"mulh40a44";"mulh45a49";"mulh50a54";"mulh55a59";"mulh5a9";"mulh60a64";"mulh65a69";"mulh70a74";"mulh75a79";"mulher80";"mulhertot";"pea";"pea1014";"pea1517";"pea18m";"peso1";"peso1114";"peso1113";"peso1214";"peso13";"peso15";"peso1517";"peso1524";"peso1618";"peso18";"peso1820";"peso1824";"peso1921";"peso25";"peso4";"peso5";"peso6";"peso610";"peso617";"peso65";"pesom1014";"pesom1517";"pesom15m";"pesom25m";"pesorur";"pesotot";"pesourb";"pia";"pia1014";"pia1517";"pia18m";"pop";"popt";"i_escolaridade";"i_freq_prop";"idhm";"idhm_e";"idhm_l";"idhm_r";"criado_em";"id_cidade";"nome_cidade";"nome_alternativo_cidade";"ibge_cidade";"id_microrregiao";"nome_microrregiao";"id_macrorregiao";"nome_macrorregiao";"id_estado";"nome_estado";"uf";"ibge_estado";"id_regiao";"nome_regiao";"ibge_regiao";"id_pais";"nome_pais"
3269;Municipal;4708;1991;68.14;2.69;27.87;31.55;59.44;90.81;76.84;5.84;9.89;6.20;5.28;13.35;5.49;14.12;6.04;16.24;52.93;57.37;57.64;22.18;22.19;25.94;24.90;20.44;16.42;81.25;92.27;42.79;22.31;4.52;72.71;80.41;18.67;22.31;2.25;;76.65;46.51;21.39;1.87;;;34.08;37.42;80.70;73.09;26.13;5.51;;9.87;0.29;0.00;48.06;50.94;21.15;26.63;39.08;23.41;19.45;6.27;15.30;13.86;11.48;13.49;4.50;150.43;217.42;298.77;470.10;775.72;0.49;3.33;5.50;16.51;25.23;50.45;60.59;40.68;5.02;55.69;13.90;26.30;44.31;83.58;11.70;8.01;412.97;103.59;1679.79;183.44;255.94;371.93;1149.95;412.97;49.25;94.84;162.45;0.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98.66;97.94;44.94;96.34;100.00;0.32;;;;19.30;34.98;21.44;;0.00;10.22;12.24;;;3.50;0.00;1203;1305;1141;1014;1022;970;895;688;521;408;414;1277;364;283;216;108;11888;59;1193;1132;1124;1001;997;885;760;704;474;444;450;1236;377;308;179;118;93;11475;;;;;479;1888;1424;1414;1437;16017;1402;4280;1359;14615;1256;2878;1241;11737;480;469;470;2593;5883;1364;1132;667;7914;5789;4133;23363;19230;;;;;23331;23331;0.23;0.27;0.49;0.26;0.72;0.63;2020-07-13 13:05:17;4708;Aguaí;AGUAI;3500303;352;Jundiaí;96;Campinas;26;São Paulo;SP;35;3;Sudeste;;1;Brasil
8834;Municipal;4708;2000;73.04;2.59;17.80;20.68;52.85;92.57;80.60;7.21;8.77;2.63;2.24;10.07;4.19;10.78;5.55;12.40;64.37;67.61;75.48;19.05;19.80;19.56;16.57;12.59;4.96;93.21;103.27;63.84;25.97;13.29;81.90;89.06;37.18;24.73;9.40;1.55;91.46;64.17;24.04;13.61;36.29;54.07;70.63;85.28;93.20;85.79;21.03;3.46;8.31;7.27;0.94;0.95;70.85;77.42;53.44;60.74;54.77;33.24;27.89;31.12;32.94;20.18;37.21;17.01;5.57;179.59;280.45;387.16;643.21;1340.44;0.55;1.66;3.76;12.69;22.21;34.90;50.51;47.08;3.99;61.67;11.57;22.33;38.33;82.22;16.28;10.66;610.66;121.68;2874.95;231.46;328.67;488.39;1883.11;611.19;55.14;101.97;163.24;0.53;22.34;3.63;21.84;10.90;8.72;0.16;66.02;39.57;25.10;36.75;0.15;6.64;16.88;1.28;33.02;74.72;83.56;91.77;;46.22;10.33;47.49;74.35;63.59;78.02;12.18;54.14;41.27;17.16;9.31;12.50;0.56;51.16;3.93;17.66;99.07;98.34;35.11;98.49;99.76;0.45;0.00;52.14;63.71;6.80;44.63;23.84;45.70;0.00;9.10;11.66;12.40;0.00;1.57;0.24;1253;1346;1422;1322;1084;1101;1104;962;830;634;447;1320;390;353;274;160;14133;131;1188;1309;1446;1208;1116;1043;1041;945;763;693;456;1300;439;418;309;222;166;14062;13029;272;783;11974;509;2133;1610;1579;1438;20479;1699;5398;1748;18780;1686;3699;1591;15081;494;544;539;2598;6430;2033;1309;853;10265;7611;3487;28195;24708;23115;2636;1649;18830;27949;27925;0.33;0.57;0.64;0.47;0.80;0.70;2020-07-13 13:05:17;4708;Aguaí;AGUAI;3500303;352;Jundiaí;96;Campinas;26;São Paulo;SP;35;3;Sudeste;;1;Brasil
14399;Municipal;4708;2010;76.49;2.14;12.50;14.50;43.68;95.22;85.44;7.81;8.57;2.58;1.91;7.73;2.14;8.17;3.25;9.43;58.46;58.74;77.35;20.43;21.23;16.70;21.12;20.03;5.94;96.46;107.61;66.06;61.20;16.93;86.49;92.61;46.27;53.16;9.85;9.06;93.78;79.88;21.18;7.21;84.32;87.91;97.38;95.14;95.79;91.52;19.24;0.72;25.41;6.18;1.58;0.93;81.73;84.80;60.93;74.21;69.80;46.66;41.75;35.91;39.45;27.32;37.47;24.75;7.65;236.67;363.00;506.67;737.50;1028.57;0.47;1.03;1.96;6.89;14.89;23.68;42.53;39.07;4.97;52.88;14.48;28.28;47.12;74.27;10.79;7.30;636.07;158.11;2485.19;302.43;438.88;599.27;1680.57;636.07;42.34;100.66;172.49;0.39;17.37;1.63;27.26;15.25;6.19;0.26;67.99;53.53;32.32;29.76;0.53;8.79;14.95;3.14;18.10;77.61;88.19;95.37;1014.85;58.86;6.95;33.44;80.03;66.65;81.37;7.09;19.83;24.81;11.88;6.30;8.40;0.32;57.79;1.61;19.55;98.90;98.31;25.98;99.55;100.00;0.54;0.48;30.31;15.68;4.21;28.26;10.32;35.92;0.00;8.68;12.32;7.74;1.11;0.72;0.00;1170;1391;1471;1533;1540;1342;1095;1081;1040;933;736;1146;620;382;313;217;16217;207;1127;1271;1369;1370;1441;1197;1145;1090;1003;947;777;1156;645;407;379;292;315;15931;16218;185;562;15470;435;2096;1554;1565;1366;24887;1727;5743;1678;23160;1699;4016;1777;19144;496;462;423;2406;5641;2512;1271;821;12377;9638;3147;32148;29001;27555;2662;1681;23212;32089;32089;0.47;0.69;0.72;0.61;0.86;0.70;2020-07-13 13:05:17;4708;Aguaí;AGUAI;3500303;352;Jundiaí;96;Campinas;26;São Paulo;SP;35;3;Sudeste;;1;Brasil
3270;Municipal;4709;1991;71.48;2.52;19.39;21.97;59.83;91.05;78.69;8.43;10.48;2.33;1.10;11.87;2.54;12.76;2.39;14.87;60.62;64.36;72.29;22.56;24.63;21.35;16.82;11.01;6.36;80.95;93.48;37.78;18.91;11.73;76.46;84.61;17.50;18.91;7.79;;80.97;44.60;18.01;3.36;;;39.33;68.37;86.28;76.91;25.12;2.46;;5.72;1.68;0.00;69.31;68.21;33.58;39.36;40.14;27.84;25.25;25.16;24.69;18.07;26.68;16.68;7.71;137.90;242.10;376.08;690.11;1100.74;0.54;4.94;9.33;20.32;28.48;42.44;53.29;42.38;3.41;58.87;10.80;22.34;41.13;80.45;15.70;10.90;531.44;90.70;2252.44;196.18;306.68;499.46;1564.15;531.44;44.62;91.33;149.24;0.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96.83;95.35;37.18;92.86;98.08;0.24;;;;13.72;34.81;15.07;;1.16;17.41;7.13;;;2.36;1.92;321;369;322;271;284;290;227;175;145;128;136;319;144;118;71;43;3401;38;276;296;278;241;302;257;225;168;142;138;148;360;166;100;84;57;53;3291;;;;;110;516;391;373;342;4751;364;1112;356;4387;352;748;351;3639;145;133;113;695;1575;564;296;170;2359;1840;1434;6692;5258;;;;;6619;6619;0.28;0.42;0.58;0.37;0.78;0.67;2020-07-13 13:05:17;4709;Águas da Prata;AGUAS DA PRATA;3500402;352;Jundiaí;96;Campinas;26;São Paulo;SP;35;3;Sudeste;;1;Brasil
8835;Municipal;4709;2000;73.44;2.11;17.10;19.90;53.35;92.84;81.21;11.36;10.24;1.53;1.71;8.59;3.82;9.15;2.36;10.21;67.62;71.71;71.15;20.02;18.26;21.66;12.36;10.03;7.19;95.66;104.24;74.87;62.12;13.67;89.42;93.72;56.84;58.15;9.30;5.01;95.77;80.14;22.26;10.51;69.66;73.26;82.88;81.52;96.30;91.58;18.47;1.21;9.71;6.40;1.53;0.86;75.52;83.30;66.78;74.16;71.06;39.92;34.06;51.24;44.17;27.08;50.95;23.86;10.34;195.21;314.94;468.50;866.73;1366.46;0.54;2.50;4.14;11.17;21.61;29.63;47.61;43.13;3.70;59.31;11.18;22.33;40.69;60.88;15.43;10.61;680.16;125.69;2933.80;254.66;378.99;624.43;2017.05;681.40;40.01;93.65;155.93;0.52;19.18;4.03;25.39;11.22;11.67;0.20;59.99;43.93;29.38;42.33;0.12;9.80;5.16;1.54;33.81;71.26;81.34;92.98;;46.48;8.38;48.59;77.21;61.01;78.22;11.59;43.04;35.35;18.54;9.28;9.37;0.36;43.70;5.95;26.15;99.18;95.31;28.13;96.93;100.00;0.00;0.00;39.01;30.34;3.70;33.71;16.11;43.01;0.00;0.00;5.02;9.15;0.00;3.23;0.00;253;318;363;306;261;234;283;273;191;178;129;305;133;124;114;75;3591;51;209;313;323;255;248;261;283;250;220;166;143;273;150;158;144;65;79;3540;3328;53;221;3054;88;522;390;384;274;5460;410;1247;431;5050;393;837;368;4213;100;117;98;570;1502;810;313;216;2745;2167;1056;7131;6075;6091;631;454;5006;7041;7029;0.40;0.69;0.69;0.58;0.81;0.71;2020-07-13 13:05:17;4709;Águas da Prata;AGUAS DA PRATA;3500402;352;Jundiaí;96;Campinas;26;São Paulo;SP;35;3;Sudeste;;1;Brasil
14400;Municipal;4709;2010;78.13;1.81;9.60;11.13;46.28;95.76;87.75;13.49;9.40;0.75;0.28;6.04;0.37;6.40;1.29;7.37;71.13;68.19;91.23;12.39;13.44;8.77;16.49;18.37;0.00;94.87;103.10;73.57;77.12;18.86;90.10;95.28;60.78;67.08;12.29;14.90;97.43;79.47;17.51;5.76;84.16;88.33;96.36;100.00;98.80;93.42;9.58;1.06;14.21;1.79;2.45;2.27;88.45;90.95;78.74;84.05;85.96;55.37;50.27;61.86;65.55;39.22;62.77;34.82;13.14;283.33;442.86;585.00;902.00;1300.00;0.52;0.60;1.29;3.56;8.19;18.43;38.78;45.34;4.36;57.86;12.94;24.96;42.14;65.26;14.01;9.03;853.39;186.22;3869.03;365.96;513.01;732.83;2492.73;853.39;56.45;106.90;179.27;0.49;21.09;2.15;20.48;13.63;8.79;0.09;61.47;61.90;44.13;43.52;0.46;13.30;8.88;1.52;13.93;77.48;88.97;95.14;1140.69;59.41;4.44;33.02;81.95;65.66;88.11;7.09;30.82;22.86;10.77;6.50;7.94;0.40;49.66;4.06;21.67;97.13;98.22;20.05;99.43;100.00;0.77;0.00;17.61;15.84;1.20;19.01;5.65;32.31;0.00;0.00;19.54;6.16;0.18;1.67;0.00;201;270;306;304;270;247;264;263;267;270;218;224;179;143;123;101;3747;97;214;240;276;288;277;255;262;256;305;256;225;222;191;161;146;114;149;3837;3997;23;110;3865;89;401;294;297;237;6155;357;1164;354;5798;329;807;339;4991;82;92;75;451;1079;1023;238;162;3136;2577;813;7584;6771;6728;510;332;5886;7510;7510;0.55;0.81;0.78;0.72;0.89;0.75;2020-07-13 13:05:17;4709;Águas da Prata;AGUAS DA PRATA;3500402;352;Jundiaí;96;Campinas;26;São Paulo;SP;35;3;Sudeste;;1;Brasil
3271;Municipal;4710;1991;70.33;2.38;22.11;25.06;56.16;92.61;80.79;7.02;10.06;1.49;2.79;13.70;4.41;14.63;5.99;17.03;56.72;61.66;59.52;22.34;23.09;23.84;20.94;15.25;16.64;86.44;100.85;41.84;23.90;7.22;79.88;88.81;25.26;23.90;4.42;;89.64;54.38;15.91;3.53;;;50.10;66.67;89.37;80.83;25.98;4.49;;6.70;0.32;0.00;65.71;73.09;30.83;31.55;39.96;25.27;21.89;16.23;19.60;14.76;15.66;13.64;5.60;108.12;189.38;316.14;622.04;943.96;0.59;8.63;11.44;28.24;32.20;48.74;55.47;49.03;2.93;63.82;8.84;19.31;36.18;83.30;22.18;14.44;498.51;72.92;2444.00;147.42;260.99;420.43;1590.77;500.02;48.45;87.57;129.85;0.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99.24;97.43;36.01;89.84;98.88;0.00;;;;10.63;35.89;20.45;;0.00;6.58;3.99;;;3.66;1.12;515;562;525;522;473;437;370;335;248;249;238;599;213;131;102;81;5652;56;483;556;490;486;471;420;394;346;257;269;232;534;215;155;112;74;79;5568;;;;;175;871;691;650;599;7973;628;2022;619;7346;609;1395;620;5951;224;229;237;1150;2649;788;556;288;3996;3021;607;11220;10613;;;;;10870;10837;0.25;0.41;0.56;0.35;0.76;0.66;2020-07-13 13:05:17;4710;Águas de Lindóia;AGUAS DE LINDOIA;3500501;356;Mogi Guaçu;96;Campinas;26;São Paulo;SP;35;3;Sudeste;;1;Brasil
8836;Municipal;4710;2000;75.49;1.97;13.80;16.12;50.73;94.14;84.27;8.47;9.15;2.12;2.20;8.75;1.86;9.25;2.46;10.96;70.91;74.79;76.31;17.76;16.20;23.69;11.33;9.01;0.00;90.76;100.96;61.41;83.68;8.82;84.90;91.45;46.47;66.11;6.31;18.23;88.36;66.27;15.24;4.21;74.50;79.78;91.66;88.92;92.37;85.64;18.41;2.09;2.17;4.87;0.41;0.00;79.59;82.28;57.23;65.20;58.07;34.76;29.54;39.78;41.63;23.52;45.69;19.46;6.14;244.26;390.42;537.31;976.05;1483.59;0.53;3.32;6.17;6.78;13.90;20.18;34.14;43.90;3.81;58.59;11.88;23.32;41.41;79.59;14.78;9.86;805.89;153.59;3538.18;325.29;460.75;729.12;2360.69;809.13;39.09;70.38;154.32;0.50;22.85;4.81;6.87;14.18;10.60;0.00;60.92;37.79;26.36;45.91;1.70;6.01;16.86;1.65;18.61;68.28;80.64;89.41;;54.33;18.94;54.75;83.93;71.75;83.97;9.03;61.34;28.20;10.01;6.03;3.73;0.41;46.78;1.96;22.17;99.32;99.32;35.02;94.93;99.54;0.00;0.00;57.56;25.50;7.63;43.58;14.74;41.36;0.00;11.89;15.07;7.17;0.00;2.29;0.46;649;742;766;738;628;626;600;538;403;367;279;631;274;231;186;97;7844;94;589;705;734;677;651;636;602;540;468;392;288;674;307;256;195;143;142;7993;8623;269;482;7871;249;1157;856;895;735;11849;840;2914;916;11009;970;2074;909;8935;254;255;259;1339;3336;1342;705;390;6026;4616;727;15837;15110;13273;1421;881;10971;15609;15547;0.35;0.67;0.70;0.54;0.84;0.74;2020-07-13 13:05:17;4710;Águas de Lindóia;AGUAS DE LINDOIA;3500501;356;Mogi Guaçu;96;Campinas;26;São Paulo;SP;35;3;Sudeste;;1;Brasil
14401;Municipal;4710;2010;75.76;1.52;12.50;14.50;44.06;94.51;84.54;10.77;9.92;1.24;0.50;5.96;1.18;6.29;1.63;7.15;74.84;78.15;72.88;14.55;12.67;21.73;10.61;9.18;5.38;91.42;98.65;71.24;89.02;20.70;85.66;91.50;51.42;71.59;11.13;31.47;94.15;75.37;17.75;6.04;87.47;92.06;96.71;98.54;96.26;90.76;11.97;0.52;9.79;4.34;2.14;0.70;88.83;90.60;73.52;84.40;82.68;50.99;45.63;51.46;55.45;33.17;56.21;29.40;10.74;299.75;433.33;600.00;900.00;1345.00;0.43;0.07;0.17;2.38;3.41;16.44;27.16;35.15;5.68;49.97;15.69;29.79;50.03;70.43;8.96;6.43;730.13;207.45;2566.13;365.23;514.93;738.66;1841.46;730.13;50.00;106.42;195.20;0.32;20.43;3.84;7.74;15.15;6.96;0.45;68.64;57.59;39.29;46.11;0.79;11.00;19.96;1.53;9.81;75.94;88.42;95.75;1010.56;59.58;7.52;49.69;77.77;65.50;80.22;4.28;22.11;13.67;7.44;3.65;2.54;0.22;54.55;3.10;16.80;98.11;98.00;20.62;99.12;100.00;0.98;1.13;26.22;12.53;3.74;24.12;6.90;32.57;0.00;5.64;13.21;8.05;0.00;2.43;0.00;514;698;638;693;735;692;618;595;569;512;420;571;365;256;231;176;8457;174;483;637;678;661;740;715;641;683;596;551;492;518;391;302;263;195;263;8809;9038;100;388;8550;207;1048;770;819;586;13845;798;2670;778;13047;779;1872;778;11175;204;210;236;1166;2750;1860;637;407;7171;5832;155;17266;17111;15170;1335;781;13053;17120;17120;0.51;0.78;0.75;0.68;0.85;0.73;2020-07-13 13:05:17;4710;Águas de Lindóia;AGUAS DE LINDOIA;3500501;356;Mogi Guaçu;96;Campinas;26;São Paulo;SP;35;3;Sudeste;;1;Brasil
3273;Municipal;4712;1991;72.08;2.56;18.03;20.44;60.40;93.92;83.82;11.73;10.26;0.86;1.25;4.77;3.30;5.01;2.84;5.33;64.36;74.58;58.71;16.16;14.20;41.29;19.49;11.22;0.00;108.99;124.91;58.46;35.58;12.13;93.56;96.24;34.66;35.58;7.40;;96.55;81.89;35.23;0.00;;;37.50;44.04;97.24;93.56;47.24;15.02;;9.89;1.00;0.00;75.22;82.19;34.66;17.69;52.15;44.94;43.62;6.07;19.01;28.20;22.44;29.88;13.73;312.15;432.49;890.06;1786.91;2851.94;0.54;0.00;0.00;2.80;4.38;12.94;18.06;39.39;3.83;59.31;9.96;20.73;40.69;66.51;15.82;11.91;1185.28;227.09;4668.66;363.27;638.16;1183.02;3514.88;1185.28;0.00;124.82;187.40;0.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100.00;100.00;33.82;98.96;100.00;0.00;;;;2.76;22.80;9.98;;0.00;10.00;7.01;;;2.13;0.00;79;69;61;64;76;66;44;44;47;38;24;68;37;28;31;17;805;12;65;77;64;73;65;74;56;47;58;40;37;82;43;42;31;16;22;892;;;;;31;116;84;84;85;1257;80;262;72;1177;74;182;79;995;28;30;29;150;346;199;77;44;668;531;0;1697;1697;;;;;1614;1614;0.45;0.38;0.63;0.41;0.79;0.80;2020-07-13 13:05:17;4712;Águas de São Pedro;AGUAS DE SAO PEDRO;3500600;348;Ituverava;96;Campinas;26;São Paulo;SP;35;3;Sudeste;;1;Brasil
