"id_cidade";"nome_cidade";"ibge_cidade";"id_estado";"nome_estado";"uf";"ibge_estado";"id_regiao";"nome_regiao"
1;Afonso Cláudio;3200102;8;Espírito Santo;ES;32;3;Sudeste
2;Água Doce do Norte;3200169;8;Espírito Santo;ES;32;3;Sudeste
3;Águia Branca;3200136;8;Espírito Santo;ES;32;3;Sudeste
4;Alegre;3200201;8;Espírito Santo;ES;32;3;Sudeste
5;Alfredo Chaves;3200300;8;Espírito Santo;ES;32;3;Sudeste
6;Alto Rio Novo;3200359;8;Espírito Santo;ES;32;3;Sudeste
7;Anchieta;3200409;8;Espírito Santo;ES;32;3;Sudeste
8;Apiacá;3200508;8;Espírito Santo;ES;32;3;Sudeste
9;Aracruz;3200607;8;Espírito Santo;ES;32;3;Sudeste
10;Atilio Vivacqua;3200706;8;Espírito Santo;ES;32;3;Sudeste
11;Baixo Guandu;3200805;8;Espírito Santo;ES;32;3;Sudeste
12;Barra de São Francisco;3200904;8;Espírito Santo;ES;32;3;Sudeste
13;Boa Esperança;3201001;8;Espírito Santo;ES;32;3;Sudeste
14;Bom Jesus do Norte;3201100;8;Espírito Santo;ES;32;3;Sudeste
15;Brejetuba;3201159;8;Espírito Santo;ES;32;3;Sudeste
16;Cachoeiro de Itapemirim;3201209;8;Espírito Santo;ES;32;3;Sudeste
17;Cariacica;3201308;8;Espírito Santo;ES;32;3;Sudeste
18;Castelo;3201407;8;Espírito Santo;ES;32;3;Sudeste
19;Colatina;3201506;8;Espírito Santo;ES;32;3;Sudeste
20;Conceição da Barra;3201605;8;Espírito Santo;ES;32;3;Sudeste
21;Conceição do Castelo;3201704;8;Espírito Santo;ES;32;3;Sudeste
22;Divino de São Lourenço;3201803;8;Espírito Santo;ES;32;3;Sudeste
23;Domingos Martins;3201902;8;Espírito Santo;ES;32;3;Sudeste
24;Dores do Rio Preto;3202009;8;Espírito Santo;ES;32;3;Sudeste
25;Ecoporanga;3202108;8;Espírito Santo;ES;32;3;Sudeste
26;Fundão;3202207;8;Espírito Santo;ES;32;3;Sudeste
27;Governador Lindenberg;3202256;8;Espírito Santo;ES;32;3;Sudeste
28;Guaçuí;3202306;8;Espírito Santo;ES;32;3;Sudeste
29;Guarapari;3202405;8;Espírito Santo;ES;32;3;Sudeste
30;Ibatiba;3202454;8;Espírito Santo;ES;32;3;Sudeste
31;Ibiraçu;3202504;8;Espírito Santo;ES;32;3;Sudeste
32;Ibitirama;3202553;8;Espírito Santo;ES;32;3;Sudeste
33;Iconha;3202603;8;Espírito Santo;ES;32;3;Sudeste
34;Irupi;3202652;8;Espírito Santo;ES;32;3;Sudeste
35;Itaguaçu;3202702;8;Espírito Santo;ES;32;3;Sudeste
36;Itapemirim;3202801;8;Espírito Santo;ES;32;3;Sudeste
37;Itarana;3202900;8;Espírito Santo;ES;32;3;Sudeste
38;Iúna;3203007;8;Espírito Santo;ES;32;3;Sudeste
39;Jaguaré;3203056;8;Espírito Santo;ES;32;3;Sudeste
40;Jerônimo Monteiro;3203106;8;Espírito Santo;ES;32;3;Sudeste
41;João Neiva;3203130;8;Espírito Santo;ES;32;3;Sudeste
42;Laranja da Terra;3203163;8;Espírito Santo;ES;32;3;Sudeste
43;Linhares;3203205;8;Espírito Santo;ES;32;3;Sudeste
44;Mantenópolis;3203304;8;Espírito Santo;ES;32;3;Sudeste
45;Marataízes;3203320;8;Espírito Santo;ES;32;3;Sudeste
46;Marechal Floriano;3203346;8;Espírito Santo;ES;32;3;Sudeste
47;Marilândia;3203353;8;Espírito Santo;ES;32;3;Sudeste
48;Mimoso do Sul;3203403;8;Espírito Santo;ES;32;3;Sudeste
49;Montanha;3203502;8;Espírito Santo;ES;32;3;Sudeste
50;Mucurici;3203601;8;Espírito Santo;ES;32;3;Sudeste
51;Muniz Freire;3203700;8;Espírito Santo;ES;32;3;Sudeste
52;Muqui;3203809;8;Espírito Santo;ES;32;3;Sudeste
53;Nova Venécia;3203908;8;Espírito Santo;ES;32;3;Sudeste
54;Pancas;3204005;8;Espírito Santo;ES;32;3;Sudeste
55;Pedro Canário;3204054;8;Espírito Santo;ES;32;3;Sudeste
56;Pinheiros;3204104;8;Espírito Santo;ES;32;3;Sudeste
57;Piúma;3204203;8;Espírito Santo;ES;32;3;Sudeste
58;Ponto Belo;3204252;8;Espírito Santo;ES;32;3;Sudeste
59;Presidente Kennedy;3204302;8;Espírito Santo;ES;32;3;Sudeste
60;Rio Bananal;3204351;8;Espírito Santo;ES;32;3;Sudeste
61;Rio Novo do Sul;3204401;8;Espírito Santo;ES;32;3;Sudeste
62;Santa Leopoldina;3204500;8;Espírito Santo;ES;32;3;Sudeste
63;Santa Maria de Jetibá;3204559;8;Espírito Santo;ES;32;3;Sudeste
64;Santa Teresa;3204609;8;Espírito Santo;ES;32;3;Sudeste
65;São Domingos do Norte;3204658;8;Espírito Santo;ES;32;3;Sudeste
66;São Gabriel da Palha;3204708;8;Espírito Santo;ES;32;3;Sudeste
67;São José do Calçado;3204807;8;Espírito Santo;ES;32;3;Sudeste
68;São Mateus;3204906;8;Espírito Santo;ES;32;3;Sudeste
