"id";"nr_zona";"nr_secao";"id_local_votacao";"cd_cargo";"ds_cargo";"nr_legenda";"sigla";"nr_candidato";"tipo_voto";"qt_votos"
4473;158;307;1;13;VEREADOR;"15";MDB;"15";LEGENDA;1
4970;158;307;1;13;VEREADOR;"12";PDT;"12";LEGENDA;4
4702;158;307;1;13;VEREADOR;"22";PL;"22";LEGENDA;1
4878;158;307;1;13;VEREADOR;"45";PSDB;"45";LEGENDA;2
4532;158;307;1;13;VEREADOR;"17";PSL;"17";LEGENDA;1
4318;158;307;1;13;VEREADOR;"13";PT;"13";LEGENDA;2
4584;158;307;1;13;VEREADOR;"18";REDE;"18";LEGENDA;1
6104;158;235;2;13;VEREADOR;"51";PATRIOTA;"51000";CANDIDATO;1
6155;158;235;2;13;VEREADOR;"65";PCdoB;"65656";CANDIDATO;6
6269;158;235;2;13;VEREADOR;"65";PCdoB;"65123";CANDIDATO;3
6270;158;235;2;13;VEREADOR;"65";PCdoB;"65651";CANDIDATO;20
6551;158;235;2;13;VEREADOR;"65";PCdoB;"65165";CANDIDATO;1
6787;158;235;2;13;VEREADOR;"65";PCdoB;"65456";CANDIDATO;2
6844;158;235;2;13;VEREADOR;"65";PCdoB;"65019";CANDIDATO;2
6915;158;235;2;13;VEREADOR;"65";PCdoB;"65000";CANDIDATO;1
6268;158;235;2;13;VEREADOR;"55";PSD;"55400";CANDIDATO;2
6455;158;235;2;13;VEREADOR;"55";PSD;"55700";CANDIDATO;1
6507;158;235;2;13;VEREADOR;"55";PSD;"55569";CANDIDATO;2
6843;158;235;2;13;VEREADOR;"55";PSD;"55222";CANDIDATO;1
6914;158;235;2;13;VEREADOR;"55";PSD;"55474";CANDIDATO;3
6102;158;235;2;13;VEREADOR;"45";PSDB;"45001";CANDIDATO;1
6266;158;235;2;13;VEREADOR;"45";PSDB;"45556";CANDIDATO;1
6267;158;235;2;13;VEREADOR;"45";PSDB;"45699";CANDIDATO;1
6330;158;235;2;13;VEREADOR;"45";PSDB;"45007";CANDIDATO;1
6394;158;235;2;13;VEREADOR;"45";PSDB;"45000";CANDIDATO;4
6395;158;235;2;13;VEREADOR;"45";PSDB;"45456";CANDIDATO;1
6624;158;235;2;13;VEREADOR;"45";PSDB;"45222";CANDIDATO;1
6841;158;235;2;13;VEREADOR;"45";PSDB;"45333";CANDIDATO;10
6842;158;235;2;13;VEREADOR;"45";PSDB;"45451";CANDIDATO;2
6100;158;235;2;13;VEREADOR;"43";PV;"43777";CANDIDATO;3
6212;158;235;2;13;VEREADOR;"43";PV;"43651";CANDIDATO;1
6839;158;235;2;13;VEREADOR;"43";PV;"43800";CANDIDATO;2
6106;158;235;2;13;VEREADOR;"77";SOLIDARIEDADE;"77123";CANDIDATO;1
6396;158;235;2;13;VEREADOR;"77";SOLIDARIEDADE;"77077";CANDIDATO;1
6733;158;235;2;13;VEREADOR;"77";SOLIDARIEDADE;"77333";CANDIDATO;1
6788;158;235;2;13;VEREADOR;"77";SOLIDARIEDADE;"77444";CANDIDATO;1
6154;158;235;2;13;VEREADOR;"44";PRP;"44010";CANDIDATO;1
6265;158;235;2;13;VEREADOR;"44";PRP;"44333";CANDIDATO;2
6329;158;235;2;13;VEREADOR;"44";PRP;"44015";CANDIDATO;8
6454;158;235;2;13;VEREADOR;"44";PRP;"44226";CANDIDATO;2
6550;158;235;2;13;VEREADOR;"44";PRP;"44567";CANDIDATO;10
6840;158;235;2;13;VEREADOR;"44";PRP;"44123";CANDIDATO;1
4468;158;278;2;13;VEREADOR;"25";DEM;"25777";CANDIDATO;1
4431;158;278;2;13;VEREADOR;"15";MDB;"15115";CANDIDATO;1
4575;158;278;2;13;VEREADOR;"15";MDB;"15777";CANDIDATO;2
4626;158;278;2;13;VEREADOR;"15";MDB;"15";LEGENDA;4
4629;158;278;2;13;VEREADOR;"15";MDB;"15000";CANDIDATO;1
4686;158;278;2;13;VEREADOR;"15";MDB;"15200";CANDIDATO;6
4735;158;278;2;13;VEREADOR;"15";MDB;"15999";CANDIDATO;1
4914;158;278;2;13;VEREADOR;"15";MDB;"15088";CANDIDATO;2
4915;158;278;2;13;VEREADOR;"15";MDB;"15133";CANDIDATO;1
4768;158;278;2;13;VEREADOR;"51";PATRIOTA;"51";LEGENDA;1
4525;158;278;2;13;VEREADOR;"65";PCdoB;"65035";CANDIDATO;2
4578;158;278;2;13;VEREADOR;"65";PCdoB;"65369";CANDIDATO;2
4579;158;278;2;13;VEREADOR;"65";PCdoB;"65456";CANDIDATO;1
