"id";"sigla";"nome_partido";"nr_legenda";"branco_nulo";"cd_espectro";"espectro";"espectro_completo";"criado_em"
1;AVANTE;AVANTE;"70";0;4;C;Centro;2020-04-11 16:50:10
2;DC;DEMOCRACIA CRISTÃ;"27";0;6;D;Direita;2020-04-11 16:50:10
3;DEM;DEMOCRATAS;"25";0;6;D;Direita;2020-04-11 16:50:10
4;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;"15";0;5;CD;Centro Direita;2020-04-11 16:50:10
5;NOVO;PARTIDO NOVO;"30";0;6;D;Direita;2020-04-11 16:50:10
6;PATRIOTA;PATRIOTA;"51";0;6;D;Direita;2020-04-11 16:50:10
7;PCB;PARTIDO COMUNISTA BRASILEIRO;"21";0;1;EE;Extrema Esquerda;2020-04-11 16:50:10
8;PCdoB;PARTIDO COMUNISTA DO BRASIL;"65";0;2;E;Esquerda;2020-04-11 16:50:10
9;PCO;PARTIDO DA CAUSA OPERÁRIA;"29";0;1;EE;Extrema Esquerda;2020-04-11 16:50:10
10;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;"12";0;3;CE;Centro Esquerda;2020-04-11 16:50:10
11;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;"31";0;4;C;Centro;2020-04-11 16:50:10
12;PL;PARTIDO LIBERAL;"22";0;5;CD;Centro Direita;2020-04-11 16:50:10
13;PMB;PARTIDO DA MULHER BRASILEIRA;"35";0;6;D;Direita;2020-04-11 16:50:10
14;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;"33";0;2;E;Esquerda;2020-04-11 16:50:10
15;PODE;PODEMOS;"19";0;6;D;Direita;2020-04-11 16:50:10
16;PP;PROGRESSISTAS;"11";0;6;D;Direita;2020-04-11 16:50:10
17;PPL;PARTIDO PÁTRIA LIVRE;"54";0;1;EE;Extrema Esquerda;2020-04-11 16:50:10
18;PPS;PARTIDO POPULAR SOCIALISTA;"23";0;4;C;Centro;2020-04-11 16:50:10
19;PRB;PARTIDO REPUBLICANO BRASILEIRO;"10";0;6;D;Direita;2020-04-11 16:50:10
20;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;"90";0;4;C;Centro;2020-04-11 16:50:10
21;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;"28";0;6;D;Direita;2020-04-11 16:50:10
22;PSB;PARTIDO SOCIALISTA BRASILEIRO;"40";0;3;CE;Centro Esquerda;2020-04-11 16:50:10
23;PSC;PARTIDO SOCIAL CRISTÃO;"20";0;7;ED;Extrema Direita;2020-04-11 16:50:10
24;PSD;PARTIDO SOCIAL DEMOCRÁTICO;"55";0;5;CD;Centro Direita;2020-04-11 16:50:10
25;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;"45";0;5;CD;Centro Direita;2020-04-11 16:50:10
26;PSL;PARTIDO SOCIAL LIBERAL;"17";0;7;ED;Extrema Direita;2020-04-11 16:50:10
27;PSOL;PARTIDO SOCIALISMO E LIBERDADE;"50";0;2;E;Esquerda;2020-04-11 16:50:10
28;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;"16";0;1;EE;Extrema Esquerda;2020-04-11 16:50:10
29;PT;PARTIDO DOS TRABALHADORES;"13";0;2;E;Esquerda;2020-04-11 16:50:10
30;PTB;PARTIDO TRABALHISTA BRASILEIRO;"14";0;6;D;Direita;2020-04-11 16:50:10
31;PTC;PARTIDO TRABALHISTA CRISTÃO;"36";0;6;D;Direita;2020-04-11 16:50:10
32;PV;PARTIDO VERDE;"43";0;4;C;Centro;2020-04-11 16:50:10
33;REDE;REDE SUSTENTABILIDADE;"18";0;3;CE;Centro Esquerda;2020-04-11 16:50:10
34;SOLIDARIEDADE;SOLIDARIEDADE;"77";0;4;C;Centro;2020-04-11 16:50:10
35;PRP;PARTIDO PROGRESSISTA DEMOCRÁTICO;"44";0;5;CD;Centro Direita;2020-04-11 16:50:10
36;VOTO BRANCO;VOTO BRANCO;"95";1;;;;2020-04-30 00:56:53
37;VOTO NULO;VOTO NULO;"96";1;;;;2020-04-30 00:57:16
