"id";"nr_zona";"nr_secao";"id_local_votacao";"cd_cargo";"ds_cargo";"nr_legenda";"sigla";"nr_candidato";"tipo_voto";"qt_votos"
4239;158;307;1;6;DEPUTADO FEDERAL;"15";MDB;"1515";CANDIDATO;2
5815;158;307;1;6;DEPUTADO FEDERAL;"30";NOVO;"3027";CANDIDATO;1
1434;158;307;1;6;DEPUTADO FEDERAL;"51";PATRIOTA;"5151";CANDIDATO;1
2164;158;307;1;6;DEPUTADO FEDERAL;"22";PL;"2207";CANDIDATO;2
10898;158;307;1;6;DEPUTADO FEDERAL;"22";PL;"2200";CANDIDATO;3
14137;158;307;1;6;DEPUTADO FEDERAL;"22";PL;"2211";CANDIDATO;1
9301;158;307;1;6;DEPUTADO FEDERAL;"11";PP;"1152";CANDIDATO;1
1652;158;307;1;6;DEPUTADO FEDERAL;"45";PSDB;"45";CANDIDATO;2
16552;158;307;1;6;DEPUTADO FEDERAL;"45";PSDB;"4500";CANDIDATO;2
4913;158;307;1;6;DEPUTADO FEDERAL;"17";PSL;"1777";CANDIDATO;3
9197;158;307;1;6;DEPUTADO FEDERAL;"17";PSL;"1771";CANDIDATO;30
12036;158;307;1;6;DEPUTADO FEDERAL;"17";PSL;"1750";CANDIDATO;1
14492;158;307;1;6;DEPUTADO FEDERAL;"17";PSL;"1799";CANDIDATO;1
8194;158;307;1;6;DEPUTADO FEDERAL;"50";PSOL;"5095";CANDIDATO;1
14824;158;307;1;6;DEPUTADO FEDERAL;"50";PSOL;"5000";CANDIDATO;4
3216;158;307;1;6;DEPUTADO FEDERAL;"18";REDE;"1898";CANDIDATO;1
7155;158;307;1;6;DEPUTADO FEDERAL;"44";PRP;"4499";CANDIDATO;2
4277;158;307;1;6;DEPUTADO FEDERAL;"95";VOTO BRANCO;"95";BRANCO_NULO;18
8490;158;338;1;6;DEPUTADO FEDERAL;"90";PROS;"9010";CANDIDATO;1
8628;158;338;1;6;DEPUTADO FEDERAL;"40";PSB;"4054";CANDIDATO;1
11480;158;338;1;6;DEPUTADO FEDERAL;"45";PSDB;"4551";CANDIDATO;9
8393;158;338;1;6;DEPUTADO FEDERAL;"17";PSL;"1702";CANDIDATO;1
16272;158;235;2;6;DEPUTADO FEDERAL;"27";DC;"2770";CANDIDATO;1
9888;158;235;2;6;DEPUTADO FEDERAL;"22";PL;"2207";CANDIDATO;2
10902;158;235;2;6;DEPUTADO FEDERAL;"22";PL;"2275";CANDIDATO;1
13115;158;235;2;6;DEPUTADO FEDERAL;"19";PODE;"1920";CANDIDATO;15
15927;158;235;2;6;DEPUTADO FEDERAL;"19";PODE;"1919";CANDIDATO;6
2949;158;235;2;6;DEPUTADO FEDERAL;"10";PRB;"1077";CANDIDATO;1
13203;158;235;2;6;DEPUTADO FEDERAL;"10";PRB;"1000";CANDIDATO;1
4054;158;235;2;6;DEPUTADO FEDERAL;"40";PSB;"4000";CANDIDATO;2
2653;158;235;2;6;DEPUTADO FEDERAL;"45";PSDB;"4500";CANDIDATO;1
3832;158;235;2;6;DEPUTADO FEDERAL;"45";PSDB;"4551";CANDIDATO;36
15553;158;235;2;6;DEPUTADO FEDERAL;"13";PT;"1399";CANDIDATO;1
9450;158;235;2;6;DEPUTADO FEDERAL;"77";SOLIDARIEDADE;"7733";CANDIDATO;1
4533;158;235;2;6;DEPUTADO FEDERAL;"96";VOTO NULO;"96";BRANCO_NULO;29
6979;158;242;2;6;DEPUTADO FEDERAL;"12";PDT;"1200";CANDIDATO;4
10502;158;242;2;6;DEPUTADO FEDERAL;"12";PDT;"12";CANDIDATO;2
8921;158;242;2;6;DEPUTADO FEDERAL;"11";PP;"1190";CANDIDATO;1
4472;158;242;2;6;DEPUTADO FEDERAL;"23";PPS;"23";LEGENDA;1
2457;158;242;2;6;DEPUTADO FEDERAL;"10";PRB;"1040";CANDIDATO;19
9120;158;242;2;6;DEPUTADO FEDERAL;"90";PROS;"9010";CANDIDATO;12
10759;158;242;2;6;DEPUTADO FEDERAL;"45";PSDB;"4500";CANDIDATO;2
12318;158;242;2;6;DEPUTADO FEDERAL;"45";PSDB;"45";CANDIDATO;1
3163;158;242;2;6;DEPUTADO FEDERAL;"17";PSL;"1707";CANDIDATO;1
3885;158;242;2;6;DEPUTADO FEDERAL;"17";PSL;"1771";CANDIDATO;20
7396;158;242;2;6;DEPUTADO FEDERAL;"17";PSL;"1700";CANDIDATO;6
3265;158;242;2;6;DEPUTADO FEDERAL;"43";PV;"4345";CANDIDATO;1
10225;158;242;2;6;DEPUTADO FEDERAL;"77";SOLIDARIEDADE;"7783";CANDIDATO;1
13312;158;257;2;6;DEPUTADO FEDERAL;"70";AVANTE;"7031";CANDIDATO;1
3230;158;257;2;6;DEPUTADO FEDERAL;"25";DEM;"2512";CANDIDATO;1
6603;158;257;2;6;DEPUTADO FEDERAL;"30";NOVO;"3030";CANDIDATO;1
15998;158;257;2;6;DEPUTADO FEDERAL;"51";PATRIOTA;"5155";CANDIDATO;6
16815;158;257;2;6;DEPUTADO FEDERAL;"51";PATRIOTA;"5128";CANDIDATO;1
5960;158;257;2;6;DEPUTADO FEDERAL;"22";PL;"2275";CANDIDATO;1
13890;158;257;2;6;DEPUTADO FEDERAL;"19";PODE;"1919";CANDIDATO;3
348;158;257;2;6;DEPUTADO FEDERAL;"54";PPL;"5455";CANDIDATO;1
6002;158;257;2;6;DEPUTADO FEDERAL;"10";PRB;"1078";CANDIDATO;3
4059;158;257;2;6;DEPUTADO FEDERAL;"90";PROS;"9005";CANDIDATO;1
16236;158;257;2;6;DEPUTADO FEDERAL;"90";PROS;"9002";CANDIDATO;1
7506;158;257;2;6;DEPUTADO FEDERAL;"40";PSB;"4007";CANDIDATO;1
1351;158;257;2;6;DEPUTADO FEDERAL;"55";PSD;"55";LEGENDA;1
11983;158;257;2;6;DEPUTADO FEDERAL;"55";PSD;"5577";CANDIDATO;5
16507;158;257;2;6;DEPUTADO FEDERAL;"45";PSDB;"4554";CANDIDATO;1
14673;158;257;2;6;DEPUTADO FEDERAL;"13";PT;"1345";CANDIDATO;1
5740;158;267;2;6;DEPUTADO FEDERAL;"70";AVANTE;"7004";CANDIDATO;1
16811;158;267;2;6;DEPUTADO FEDERAL;"25";DEM;"2533";CANDIDATO;1
8245;158;267;2;6;DEPUTADO FEDERAL;"30";NOVO;"30";CANDIDATO;1
748;158;267;2;6;DEPUTADO FEDERAL;"51";PATRIOTA;"5155";CANDIDATO;3
2546;158;267;2;6;DEPUTADO FEDERAL;"51";PATRIOTA;"5100";CANDIDATO;1
10622;158;267;2;6;DEPUTADO FEDERAL;"51";PATRIOTA;"5151";CANDIDATO;1
10738;158;267;2;6;DEPUTADO FEDERAL;"65";PCdoB;"65";LEGENDA;2
1595;158;267;2;6;DEPUTADO FEDERAL;"10";PRB;"1040";CANDIDATO;21
572;158;267;2;6;DEPUTADO FEDERAL;"45";PSDB;"4595";CANDIDATO;1
13369;158;267;2;6;DEPUTADO FEDERAL;"17";PSL;"1702";CANDIDATO;2
16461;158;267;2;6;DEPUTADO FEDERAL;"17";PSL;"1771";CANDIDATO;29
7535;158;267;2;6;DEPUTADO FEDERAL;"13";PT;"1323";CANDIDATO;1
9653;158;267;2;6;DEPUTADO FEDERAL;"13";PT;"1319";CANDIDATO;1
10718;158;267;2;6;DEPUTADO FEDERAL;"77";SOLIDARIEDADE;"7783";CANDIDATO;2
5628;158;267;2;6;DEPUTADO FEDERAL;"96";VOTO NULO;"96";BRANCO_NULO;37
4228;158;278;2;6;DEPUTADO FEDERAL;"15";MDB;"1503";CANDIDATO;1
17276;158;278;2;6;DEPUTADO FEDERAL;"30";NOVO;"3030";CANDIDATO;1
16227;158;278;2;6;DEPUTADO FEDERAL;"51";PATRIOTA;"5155";CANDIDATO;5
4751;158;278;2;6;DEPUTADO FEDERAL;"12";PDT;"1233";CANDIDATO;1
14184;158;278;2;6;DEPUTADO FEDERAL;"22";PL;"2277";CANDIDATO;4
6935;158;278;2;6;DEPUTADO FEDERAL;"10";PRB;"1000";CANDIDATO;4
7268;158;278;2;6;DEPUTADO FEDERAL;"17";PSL;"17";LEGENDA;5
7577;158;278;2;6;DEPUTADO FEDERAL;"17";PSL;"1702";CANDIDATO;3
10957;158;278;2;6;DEPUTADO FEDERAL;"50";PSOL;"5055";CANDIDATO;1
1211;158;278;2;6;DEPUTADO FEDERAL;"13";PT;"1332";CANDIDATO;11
13706;158;278;2;6;DEPUTADO FEDERAL;"13";PT;"1318";CANDIDATO;2
8445;158;284;2;6;DEPUTADO FEDERAL;"25";DEM;"2511";CANDIDATO;2
16939;158;284;2;6;DEPUTADO FEDERAL;"25";DEM;"2555";CANDIDATO;1
14035;158;284;2;6;DEPUTADO FEDERAL;"51";PATRIOTA;"5199";CANDIDATO;1
8850;158;284;2;6;DEPUTADO FEDERAL;"12";PDT;"1233";CANDIDATO;2
4149;158;284;2;6;DEPUTADO FEDERAL;"22";PL;"2240";CANDIDATO;3
12985;158;284;2;6;DEPUTADO FEDERAL;"22";PL;"2222";CANDIDATO;2
16071;158;284;2;6;DEPUTADO FEDERAL;"22";PL;"2233";CANDIDATO;2
7614;158;284;2;6;DEPUTADO FEDERAL;"19";PODE;"1919";CANDIDATO;2
1972;158;284;2;6;DEPUTADO FEDERAL;"10";PRB;"1077";CANDIDATO;1
3051;158;284;2;6;DEPUTADO FEDERAL;"10";PRB;"1023";CANDIDATO;1
3740;158;284;2;6;DEPUTADO FEDERAL;"45";PSDB;"4551";CANDIDATO;34
12951;158;284;2;6;DEPUTADO FEDERAL;"17";PSL;"1771";CANDIDATO;15
2212;158;294;2;6;DEPUTADO FEDERAL;"15";MDB;"1518";CANDIDATO;1
12042;158;294;2;6;DEPUTADO FEDERAL;"12";PDT;"1200";CANDIDATO;6
10600;158;294;2;6;DEPUTADO FEDERAL;"11";PP;"1123";CANDIDATO;1
9215;158;294;2;6;DEPUTADO FEDERAL;"54";PPL;"5451";CANDIDATO;1
12778;158;294;2;6;DEPUTADO FEDERAL;"28";PRTB;"2828";CANDIDATO;1
12680;158;294;2;6;DEPUTADO FEDERAL;"40";PSB;"4000";CANDIDATO;4
16843;158;294;2;6;DEPUTADO FEDERAL;"40";PSB;"40";CANDIDATO;2
2578;158;294;2;6;DEPUTADO FEDERAL;"45";PSDB;"4578";CANDIDATO;1
13505;158;294;2;6;DEPUTADO FEDERAL;"17";PSL;"1770";CANDIDATO;1
14438;158;294;2;6;DEPUTADO FEDERAL;"17";PSL;"1720";CANDIDATO;22
4209;158;294;2;6;DEPUTADO FEDERAL;"13";PT;"13";CANDIDATO;1
10780;158;294;2;6;DEPUTADO FEDERAL;"13";PT;"1319";CANDIDATO;1
2630;158;303;2;6;DEPUTADO FEDERAL;"30";NOVO;"3083";CANDIDATO;1
10969;158;303;2;6;DEPUTADO FEDERAL;"65";PCdoB;"6565";CANDIDATO;1
13443;158;303;2;6;DEPUTADO FEDERAL;"22";PL;"2222";CANDIDATO;2
13383;158;303;2;6;DEPUTADO FEDERAL;"54";PPL;"5430";CANDIDATO;1
14121;158;303;2;6;DEPUTADO FEDERAL;"10";PRB;"1078";CANDIDATO;1
5436;158;303;2;6;DEPUTADO FEDERAL;"45";PSDB;"4501";CANDIDATO;1
2518;158;303;2;6;DEPUTADO FEDERAL;"17";PSL;"1712";CANDIDATO;1
3067;158;303;2;6;DEPUTADO FEDERAL;"50";PSOL;"5050";CANDIDATO;1
6683;158;303;2;6;DEPUTADO FEDERAL;"13";PT;"1358";CANDIDATO;1
8577;158;303;2;6;DEPUTADO FEDERAL;"36";PTC;"36";LEGENDA;1
1251;158;303;2;6;DEPUTADO FEDERAL;"43";PV;"4303";CANDIDATO;4
438;158;303;2;6;DEPUTADO FEDERAL;"77";SOLIDARIEDADE;"7783";CANDIDATO;2
7878;158;308;2;6;DEPUTADO FEDERAL;"15";MDB;"15";CANDIDATO;1
2023;158;308;2;6;DEPUTADO FEDERAL;"22";PL;"2225";CANDIDATO;1
10806;158;308;2;6;DEPUTADO FEDERAL;"22";PL;"2277";CANDIDATO;2
15225;158;308;2;6;DEPUTADO FEDERAL;"22";PL;"2233";CANDIDATO;1
6965;158;308;2;6;DEPUTADO FEDERAL;"19";PODE;"1911";CANDIDATO;1
14268;158;308;2;6;DEPUTADO FEDERAL;"10";PRB;"1032";CANDIDATO;1
11444;158;308;2;6;DEPUTADO FEDERAL;"40";PSB;"4040";CANDIDATO;1
11596;158;308;2;6;DEPUTADO FEDERAL;"40";PSB;"4044";CANDIDATO;1
4397;158;308;2;6;DEPUTADO FEDERAL;"55";PSD;"5577";CANDIDATO;5
2453;158;308;2;6;DEPUTADO FEDERAL;"17";PSL;"1777";CANDIDATO;7
6653;158;308;2;6;DEPUTADO FEDERAL;"17";PSL;"1733";CANDIDATO;1
12617;158;308;2;6;DEPUTADO FEDERAL;"13";PT;"13";CANDIDATO;3
16605;158;308;2;6;DEPUTADO FEDERAL;"13";PT;"1354";CANDIDATO;1
10479;158;308;2;6;DEPUTADO FEDERAL;"44";PRP;"4499";CANDIDATO;2
