"Tabela 1973 - Pessoas que frequentavam creche ou escola por nível de ensino, sexo e grupos de idade"
"Variável - Pessoas que frequentavam escola ou creche (Pessoas)"
"Cód.";"Município";"Grupo de idade";"Ano x Nível de ensino ou curso que frequentavam x Sexo"
"Cód.";"Município";"Grupo de idade";"2010"
"Cód.";"Município";"Grupo de idade";"Creche";;"Pré-escolar ou classe de alfabetização";;"Pré-escolar";;"Classe de alfabetização";;"Alfabetização de jovens e adultos";;"Alfabetização de adultos";;"Regular de ensino fundamental";;"Educação de jovens e adultos do ensino fundamental";;"Fundamental";;"Regular do ensino médio";;"Educação de jovens e adultos do ensino médio";;"Médio";;"Pré-vestibular";;"Superior de graduação";;"Especialização de nível superior";;"Mestrado";;"Doutorado";;"Mestrado ou doutorado"
"Cód.";"Município";"Grupo de idade";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres"
"3501608";"Americana (SP)";"0 a 3 anos";"1678";"1404";"...";"...";"343";"356";"-";"-";"-";"-";"...";"...";"-";"-";"-";"-";"...";"...";"-";"-";"-";"-";"...";"...";"...";"...";"-";"-";"-";"-";"-";"-";"-";"-";"...";"..."
"3501608";"Americana (SP)";"4 anos";"207";"69";"...";"...";"799";"941";"20";"23";"-";"-";"...";"...";"21";"-";"-";"-";"...";"...";"-";"-";"-";"-";"...";"...";"...";"...";"-";"-";"-";"-";"-";"-";"-";"-";"...";"..."
"3501608";"Americana (SP)";"5 e 6 anos";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"3501608";"Americana (SP)";"7 a 9 anos";"-";"-";"...";"...";"119";"160";"480";"289";"-";"-";"...";"...";"3243";"2988";"-";"-";"...";"...";"-";"-";"-";"-";"...";"...";"...";"...";"-";"-";"-";"-";"-";"-";"-";"-";"...";"..."
"3501608";"Americana (SP)";"10 a 14 anos";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"3501608";"Americana (SP)";"15 a 19 anos";"-";"-";"...";"...";"-";"-";"-";"-";"30";"21";"...";"...";"531";"527";"219";"167";"...";"...";"3466";"3469";"349";"245";"...";"...";"...";"...";"792";"1042";"-";"17";"-";"-";"-";"-";"...";"..."
"3501608";"Americana (SP)";"20 a 24 anos";"-";"-";"...";"...";"-";"-";"-";"-";"42";"-";"...";"...";"55";"36";"22";"7";"...";"...";"254";"88";"182";"110";"...";"...";"...";"...";"1972";"2231";"91";"163";"19";"23";"-";"-";"...";"..."
"3501608";"Americana (SP)";"25 a 29 anos";"-";"-";"...";"...";"-";"-";"-";"-";"13";"-";"...";"...";"31";"29";"38";"30";"...";"...";"149";"67";"133";"102";"...";"...";"...";"...";"1060";"881";"107";"162";"53";"49";"10";"41";"...";"..."
"3501608";"Americana (SP)";"30 a 39 anos";"-";"-";"...";"...";"-";"-";"-";"-";"42";"19";"...";"...";"106";"98";"61";"63";"...";"...";"155";"219";"126";"276";"...";"...";"...";"...";"766";"652";"144";"212";"17";"59";"59";"-";"...";"..."
"3501608";"Americana (SP)";"40 a 49 anos";"-";"-";"...";"...";"-";"-";"-";"-";"44";"77";"...";"...";"84";"91";"71";"158";"...";"...";"86";"58";"99";"140";"...";"...";"...";"...";"282";"229";"127";"48";"40";"19";"-";"-";"...";"..."
"3501608";"Americana (SP)";"50 anos ou mais";"-";"-";"...";"...";"-";"-";"-";"-";"132";"244";"...";"...";"136";"256";"91";"28";"...";"...";"130";"88";"48";"93";"...";"...";"...";"...";"180";"226";"69";"16";"38";"20";"-";"11";"...";"..."
