"","Sigla","Nome","Legenda","Espectro"
"1","PCB","PARTIDO COMUNISTA BRASILEIRO","21","EE"
"2","PCdoB","PARTIDO COMUNISTA DO BRASIL","65","E"
"3","PCO","PARTIDO DA CAUSA OPERÁRIA","29","EE"
"4","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA","12","CE"
"5","PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL","33","E"
"6","PPL","PARTIDO PÁTRIA LIVRE","54","EE"
"7","PSB","PARTIDO SOCIALISTA BRASILEIRO","40","CE"
"8","PSOL","PARTIDO SOCIALISMO E LIBERDADE","50","E"
"9","PSTU","PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO","16","EE"
"10","PT","PARTIDO DOS TRABALHADORES","13","E"
"11","REDE","REDE SUSTENTABILIDADE","18","CE"
