"","Bairro","Votos"
"1","JARDIM SANTANA",259
"2","CENTRO",216
"3","PARQUE NOVO MUNDO",179
"4","VILA SANTA CATARINA",177
"5","CIDADE JARDIM II",144
"6","VILA AMORIM",124
"7","ANTONIO ZANAGA I",108
"8","JARDIM IPIRANGA",108
"9","VILA GALO",108
"10","PARQUE RESIDENCIAL JAGUARI",107
"11","JARDIM SÃO PAULO",97
"12","MORADA DO SOL",86
"13","PARQUE DAS NAÇÕES",82
"14","JARDIM PAULISTA",80
"15","JARDIM HELENA",78
"16","VILA JONES",68
"17","SAO MANOEL",66
"18","JARDIM BRASIL",62
"19","BRIEDS",61
"20","JARDIM PAULISTANO",61
"21","VILA MARGARIDA",59
"22","JARDIM SÃO DOMINGOS",58
"23","VILA MATHIENSEN",58
"24","PARQUE GRAMADO",56
"25","JARDIM AMERICA",56
"26","JARDIM SAO VITO",54
"27","VILA DAINESE",52
"28","PARQUE SÃO JERÔNIMO",49
"29","VILA MARIANA",47
"30","VILA CORDENONSI",45
"31","CONSERVA",40
"32","ANTONIO ZANAGA II",39
"33","LOTEAMENTO INDUSTRIAL MACHADINHO",35
"34","SAO LUIZ",34
"35","JARDIM DA PAZ",32
"36","JARDIM BRASÍLIA",31
"37","PRAIA AZUL",30
"38","ANTONIO ZANAGA",27
"39","JARDIM ALVORADA",26
"40","VILA NOSSA SENHORA DE FATIMA",25
"41","JARDIM SÃO ROQUE",22
"42","RECANTO JATOBA",22
"43","JARDIM COLINA",18
"44","SAO BENEDITO",15
"45","PROFILURB",11
"46","JARDIM DAS ORQUÍDEAS",9
"47","JARDIM MIRANDOLA",1
