"","Bairro","Votos","VotosPorcento"
"1","JARDIM SANTANA",198,6.15
"2","CENTRO",177,5.49
"3","PARQUE NOVO MUNDO",174,5.4
"4","VILA SANTA CATARINA",163,5.06
"5","CIDADE JARDIM II",127,3.94
"6","JARDIM SÃO PAULO",107,3.32
"7","ANTONIO ZANAGA I",104,3.23
"8","VILA JONES",98,3.04
"9","VILA AMORIM",94,2.92
"10","VILA GALO",91,2.82
"11","MORADA DO SOL",83,2.58
"12","JARDIM IPIRANGA",83,2.58
"13","PARQUE RESIDENCIAL JAGUARI",77,2.39
"14","JARDIM HELENA",77,2.39
"15","JARDIM PAULISTA",70,2.17
"16","JARDIM PAULISTANO",69,2.14
"17","PARQUE DAS NAÇÕES",62,1.92
"18","PARQUE SÃO JERÔNIMO",62,1.92
"19","JARDIM AMERICA",61,1.89
"20","SAO MANOEL",59,1.83
"21","VILA MARGARIDA",59,1.83
"22","JARDIM SAO VITO",58,1.8
"23","VILA MATHIENSEN",56,1.74
"24","JARDIM SÃO DOMINGOS",50,1.55
"25","JARDIM BRASIL",49,1.52
"26","BRIEDS",46,1.43
"27","VILA MARIANA",45,1.4
"28","PARQUE GRAMADO",42,1.3
"29","VILA DAINESE",42,1.3
"30","VILA CORDENONSI",39,1.21
"31","JARDIM DA PAZ",37,1.15
"32","JARDIM ALVORADA",35,1.09
"33","SAO LUIZ",35,1.09
"34","CONSERVA",33,1.02
"35","PRAIA AZUL",28,0.87
"36","ANTONIO ZANAGA II",28,0.87
"37","ANTONIO ZANAGA",28,0.87
"38","JARDIM BRASÍLIA",27,0.84
"39","JARDIM SÃO ROQUE",23,0.71
"40","VILA NOSSA SENHORA DE FATIMA",23,0.71
"41","LOTEAMENTO INDUSTRIAL MACHADINHO",21,0.65
"42","JARDIM COLINA",19,0.59
"43","RECANTO JATOBA",17,0.53
"44","PROFILURB",14,0.43
"45","SAO BENEDITO",12,0.37
"46","JARDIM MIRANDOLA",6,0.19
"47","JARDIM DAS ORQUÍDEAS",3,0.09
