Ano;Rodada;Data;Time casa;Gols time casa;Time visitante;Gols time visitante
2020;1;07/08/2020;Cuiabá - MT;0;Brasil - RS;0
2020;1;07/08/2020;Confiança - SE;2;Paraná - PR;2
2020;1;08/08/2020;Juventude - RS;2;Crb - AL;1
2020;1;08/08/2020;Operário - PR;3;Figueirense - SC;1
2020;1;08/08/2020;Avaí - SC;3;Náutico - PE;1
2020;1;08/08/2020;Vitória - BA;1;Sampaio Correa - MA;0
2020;1;08/08/2020;Cruzeiro - MG;2;Botafogo - SP;1
2020;1;08/08/2020;Ponte Preta - SP;0;America - MG;1
2020;1;08/08/2020;Csa - AL;1;Guarani - SP;0
2020;1;09/08/2020;Oeste - SP;0;Chapecoense - SC;0
2020;2;11/08/2020;Botafogo - SP;2;Confiança - SE;0
2020;2;11/08/2020;Brasil - RS;1;Ponte Preta - SP;1
2020;2;11/08/2020;Sampaio Correa - MA;0;Juventude - RS;1
2020;2;11/08/2020;Guarani - SP;2;Cruzeiro - MG;3
2020;2;11/08/2020;Paraná - PR;1;Avaí - SC;0
2020;2;11/08/2020;America - MG;0;Cuiabá - MT;1
2020;2;11/08/2020;Figueirense - SC;0;Vitória - BA;0
2020;2;11/08/2020;Náutico - PE;0;Operário - PR;0
2020;2;12/08/2020;Crb - AL;1;Oeste - SP;0
2020;2;27/10/2020;Chapecoense - SC;0;Csa - AL;0
2020;3;14/08/2020;America - MG;1;Operário - PR;1
2020;3;14/08/2020;Ponte Preta - SP;3;Vitória - BA;3
2020;3;14/08/2020;Paraná - PR;3;Juventude - RS;1
2020;3;15/08/2020;Botafogo - SP;0;Guarani - SP;1
2020;3;15/08/2020;Brasil - RS;1;Oeste - SP;1
2020;3;15/08/2020;Náutico - PE;1;Crb - AL;1
2020;3;16/08/2020;Chapecoense - SC;1;Sampaio Correa - MA;0
2020;3;16/08/2020;Figueirense - SC;0;Cruzeiro - MG;1
2020;3;15/09/2020;Confiança - SE;2;Avaí - SC;2
2020;3;16/09/2020;Csa - AL;1;Cuiabá - MT;2
2020;4;17/08/2020;Juventude - RS;0;America - MG;0
2020;4;18/08/2020;Operário - PR;3;Csa - AL;0
2020;4;18/08/2020;Avaí - SC;0;Botafogo - SP;1
2020;4;18/08/2020;Oeste - SP;1;Ponte Preta - SP;3
2020;4;18/08/2020;Cuiabá - MT;1;Confiança - SE;0
2020;4;18/08/2020;Crb - AL;1;Brasil - RS;0
2020;4;18/08/2020;Guarani - SP;1;Paraná - PR;2
